"Year","Stock","Counts","Mean","Lower95%","Median50%","Upper95%"
1995,"Middle","Run",156866.22674122,107183.577974588,153572.81380341,218441.125675488
1996,"Middle","Run",74001.5275000145,45759.2808731616,71200.0731113544,116838.142228652
1997,"Middle","Run",134908.337083805,89754.1043110013,132413.557403744,195684.000416114
1998,"Middle","Run",51709.6286116062,33489.3348045633,49909.9870100881,75908.7069685956
1999,"Middle","Run",68077.1219412359,41790.4619252347,66678.8251353281,104512.829639536
2000,"Middle","Run",25193.4593945474,16993.5017524867,24569.7921942662,37842.8759496068
2001,"Middle","Run",70821.9525266309,48125.2229300356,69120.2301511561,104281.120590707
2002,"Middle","Run",56366.9180362188,45437.2748287855,56174.5983101978,68711.1187450428
2003,"Middle","Run",92292.8895896302,74088.9183051454,92137.4959561947,110570.227264753
2004,"Middle","Run",81056.8722760197,60981.8590388726,80374.1423282325,104314.548226874
2005,"Middle","Run",73300.1212983794,59258.7142202414,72580.7365671387,91230.1716293088
2006,"Middle","Run",66457.2185482515,52839.8282169274,65946.2429509948,81391.7946066524
2007,"Middle","Run",60694.6254999349,49986.3575207336,60379.6796480115,74268.580982914
2008,"Middle","Run",42105.1031208342,33993.3417202903,41937.8333437276,51756.8957515271
2009,"Middle","Run",63129.6133680943,50281.6608586947,62792.4909893687,78339.6268882197
2010,"Middle","Run",46465.0572633242,35664.8514637162,46011.6871723115,59322.0539158833
2011,"Middle","Run",46833.6821017711,37534.9204804422,46590.4406066435,57615.8428052602
2012,"Middle","Run",38055.887928589,30785.8754296016,37826.9321587569,46089.9053099705
2013,"Middle","Run",20585.3041890835,15523.636492504,20387.0843361455,26382.3853889769
2014,"Middle","Run",45102.0392355914,35026.9001933678,44894.2441356771,56440.5563457598
2015,"Middle","Run",51186.0357658284,39261.9495020683,51002.9527699766,63925.9596008811
2016,"Middle","Run",51948.7533221463,41233.5305051968,51639.8473276188,63539.5247121919
2017,"Middle","Run",85741.6405312955,69007.6074020557,85641.190866296,103545.891655957
2018,"Middle","Run",51993.6563403632,40844.7592336329,51538.0217516623,63728.2001448161
2019,"Middle","Run",49641.5354515312,39438.3780246801,49440.6154765908,60355.247985624
2020,"Middle","Run",32323.1233168146,23377.3244410116,32290.067296618,42760.4785031371
2021,"Middle","Run",28395.8654787878,21195.9782904867,28244.0052905417,36224.0234645184
2022,"Middle","Run",8610.48680031088,8117.78569682374,8476.84517132801,9812.16799309523
2023,"Middle","Run",9667.66144116215,8163.58013678038,9501.27879067753,12169.7980261154
2024,"Middle","Run",10053.6294492074,8213.77372905346,9769.250569616,13413.0041825012
1981,"Lower","Run",71240.0656075052,28647.7822212219,64045.2161323485,161663.218531896
1982,"Lower","Run",75017.2113030212,48052.7892667381,72987.5773454296,113565.603376905
1983,"Lower","Run",78661.5664043359,51354.6387187011,77831.4229282001,116713.028300699
1984,"Lower","Run",127246.411744961,60778.491931916,120195.895191004,238253.731981954
1985,"Lower","Run",146244.228487073,102145.758299736,145214.423570973,194639.405461983
1986,"Lower","Run",161616.218667097,111059.3011073,159323.870901945,224270.812953341
1987,"Lower","Run",117561.388756943,82186.5230026674,115304.169009117,162891.653393463
1988,"Lower","Run",113421.069592409,78516.9697799853,111703.113047261,157344.710623135
1989,"Lower","Run",95757.6691859604,57437.3880417713,93662.954410089,146281.959868838
1990,"Lower","Run",135135.286643775,88349.4467436124,131828.417658396,198515.634766435
1991,"Lower","Run",146340.945183031,105458.156974352,144630.195264938,199438.355549542
