year,estimate,system,system_alt,type,CU,hatch_contrib,pni,comments
2011,5156,bigsalmon,Big Salmon,sonar,BigSalmonR,,,
2012,2584,bigsalmon,Big Salmon,sonar,BigSalmonR,,,
2013,3242,bigsalmon,Big Salmon,sonar,BigSalmonR,,,
2014,6321,bigsalmon,Big Salmon,sonar,BigSalmonR,,,
2015,10078,bigsalmon,Big Salmon,sonar,BigSalmonR,,,
2016,6761,bigsalmon,Big Salmon,sonar,BigSalmonR,,,
2017,5672,bigsalmon,Big Salmon,sonar,BigSalmonR,,,
2018,5159,bigsalmon,Big Salmon,sonar,BigSalmonR,,,
2019,3874,bigsalmon,Big Salmon,sonar,BigSalmonR,,,
2020,1635,bigsalmon,Big Salmon,sonar,BigSalmonR,,,
2021,1958,bigsalmon,Big Salmon,sonar,BigSalmonR,,,
2022,,bigsalmon,Big Salmon,sonar,BigSalmonR,,,
2023,1795,bigsalmon,Big Salmon,sonar,BigSalmonR,,,
2024,1899,bigsalmon,Big Salmon,sonar,BigSalmonR,,,
1995,826,blindcreek,Blind Creek,weir,Pelly,,,
1996,,blindcreek,Blind Creek,weir,Pelly,,,
1997,957,blindcreek,Blind Creek,weir,Pelly,,,
1998,373,blindcreek,Blind Creek,weir,Pelly,,,
1999,892,blindcreek,Blind Creek,weir,Pelly,,,
2000,,blindcreek,Blind Creek,weir,Pelly,,,
2001,,blindcreek,Blind Creek,weir,Pelly,,,
2002,,blindcreek,Blind Creek,weir,Pelly,,,
2003,1155,blindcreek,Blind Creek,weir,Pelly,,,
2004,792,blindcreek,Blind Creek,weir,Pelly,,,
2005,525,blindcreek,Blind Creek,weir,Pelly,,,
2006,677,blindcreek,Blind Creek,weir,Pelly,,,
2007,304,blindcreek,Blind Creek,weir,Pelly,,,
2008,276,blindcreek,Blind Creek,weir,Pelly,,,
2009,716,blindcreek,Blind Creek,weir,Pelly,,,
2010,270,blindcreek,Blind Creek,weir,Pelly,,,
2011,360,blindcreek,Blind Creek,weir,Pelly,,,
2012,157,blindcreek,Blind Creek,weir,Pelly,,,
2013,312,blindcreek,Blind Creek,weir,Pelly,,,
2014,602,blindcreek,Blind Creek,weir,Pelly,,,
2015,964,blindcreek,Blind Creek,weir,Pelly,,,
2016,664,blindcreek,Blind Creek,weir,Pelly,,,
2017,,blindcreek,Blind Creek,weir,Pelly,,,
2018,612,blindcreek,Blind Creek,weir,Pelly,,,
1998,127,chandindu,Chandindu,weir,NorthernYukonR.andtribs.,,,
1999,237,chandindu,Chandindu,weir,NorthernYukonR.andtribs.,,,
2003,85,chandindu,Chandindu,weir,NorthernYukonR.andtribs.,,,
2009,5147,klondike,Klondike,sonar,NorthernYukonR.andtribs.,,,
2010,803,klondike,Klondike,sonar,NorthernYukonR.andtribs.,,,
2011,1181,klondike,Klondike,sonar,NorthernYukonR.andtribs.,,,
2012,,klondike,Klondike,sonar,NorthernYukonR.andtribs.,,,
2013,,klondike,Klondike,sonar,NorthernYukonR.andtribs.,,,
2014,,klondike,Klondike,sonar,NorthernYukonR.andtribs.,,,
2015,,klondike,Klondike,sonar,NorthernYukonR.andtribs.,,,
2016,,klondike,Klondike,sonar,NorthernYukonR.andtribs.,,,
2017,,klondike,Klondike,sonar,NorthernYukonR.andtribs.,,,
2018,,klondike,Klondike,sonar,NorthernYukonR.andtribs.,,,
2019,,klondike,Klondike,sonar,NorthernYukonR.andtribs.,,,
2020,470,klondike,Klondike,sonar,NorthernYukonR.andtribs.,,,
2021,855,klondike,Klondike,sonar,NorthernYukonR.andtribs.,,,
2022,253,klondike,Klondike,sonar,NorthernYukonR.andtribs.,,,
2023,280,klondike,Klondike,sonar,NorthernYukonR.andtribs.,,,
2024,285,klondike,Klondike,sonar,NorthernYukonR.andtribs.,,,
1983,54,kluane,Kluane,aerial,Whiteandtribs.,,,
1985,70,kluane,Kluane,aerial,Whiteandtribs.,,,
1987,63,kluane,Kluane,aerial,Whiteandtribs.,,,
1987,100,kluane,Kluane,aerial,Whiteandtribs.,,,
1988,36,kluane,Kluane,aerial,Whiteandtribs.,,,
1988,204,kluane,Kluane,aerial,Whiteandtribs.,,,
1989,62,kluane,Kluane,aerial,Whiteandtribs.,,,
1989,88,kluane,Kluane,aerial,Whiteandtribs.,,,
1990,83,kluane,Kluane,aerial,Whiteandtribs.,,,
1992,73,kluane,Kluane,aerial,Whiteandtribs.,,,
1993,,kluane,Kluane,aerial,Whiteandtribs.,,,
1995,121,kluane,Kluane,aerial,Whiteandtribs.,,,
1996,150,kluane,Kluane,aerial,Whiteandtribs.,,,
1998,53,kluane,Kluane,aerial,Whiteandtribs.,,,
1968,,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1969,120,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1970,120,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1971,275,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1972,126,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1973,,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1973,27,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1977,408,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1977,94,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1978,330,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1978,330,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1979,,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1980,,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1981,670,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1981,670,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1982,403,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1983,,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1983,101,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1984,434,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1984,148,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1985,255,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1985,89,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1986,,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1986,54,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1987,468,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1987,468,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1988,368,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1988,368,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1989,862,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1989,862,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1990,665,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1991,326,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1992,494,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1993,184,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1994,726,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1995,781,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1995,781,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1996,1150,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1996,1150,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1997,1025,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1998,361,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1998,361,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
1999,495,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
2000,46,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
2001,1035,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
2002,526,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
2002,0,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
2003,1658,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
2004,1140,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
2005,1519,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
2006,1381,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
2007,451,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
2008,93,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
2009,821,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
2011,38,littlesalmon,Little Salmon,aerial,MiddleYukonR.andtribs.,,,
2004,155,michie,Michie,foot,UpperYukonR.,,,estimates conisdered unreliable due to predation and survey timing
2005,340,michie,Michie,foot,UpperYukonR.,,,estimates conisdered unreliable due to predation and survey timing
2006,34,michie,Michie,foot,UpperYukonR.,,,estimates conisdered unreliable due to predation and survey timing
2007,47,michie,Michie,foot,UpperYukonR.,,,estimates conisdered unreliable due to predation and survey timing
2008,35,michie,Michie,foot,UpperYukonR.,,,estimates conisdered unreliable due to predation and survey timing
2009,82,michie,Michie,foot,UpperYukonR.,,,estimates conisdered unreliable due to predation and survey timing
2010,1,michie,Michie,foot,UpperYukonR.,,,estimates conisdered unreliable due to predation and survey timing
2011,247,michie,Michie,foot,UpperYukonR.,,,estimates conisdered unreliable due to predation and survey timing
2012,213,michie,Michie,foot,UpperYukonR.,,,estimates conisdered unreliable due to predation and survey timing
2013,41,michie,Michie,foot,UpperYukonR.,,,estimates conisdered unreliable due to predation and survey timing
2014,245,michie,Michie,foot,UpperYukonR.,,,estimates conisdered unreliable due to predation and survey timing
2015,143,michie,Michie,foot,UpperYukonR.,,,estimates conisdered unreliable due to predation and survey timing
2016,21,michie,Michie,foot,UpperYukonR.,,,estimates conisdered unreliable due to predation and survey timing
2017,195,michie,Michie,foot,UpperYukonR.,,,estimates conisdered unreliable due to predation and survey timing
2018,23,michie,Michie,foot,UpperYukonR.,,,estimates conisdered unreliable due to predation and survey timing
2019,5,michie,Michie,foot,UpperYukonR.,,,estimates conisdered unreliable due to predation and survey timing
2020,6,michie,Michie,foot,UpperYukonR.,,,estimates conisdered unreliable due to predation and survey timing
2021,19,michie,Michie,foot,UpperYukonR.,,,estimates conisdered unreliable due to predation and survey timing
2022,1,michie,Michie,foot,UpperYukonR.,,,estimates conisdered unreliable due to predation and survey timing
2023,26,michie,Michie,foot,UpperYukonR.,,,estimates conisdered unreliable due to predation and survey timing
2024,75,michie,Michie,foot,UpperYukonR.,,,estimates conisdered unreliable due to predation and survey timing
2009,319,miner,Miner,aerial,Porcupine,,,
2010,2,miner,Miner,aerial,Porcupine,,,
2011,67,miner,Miner,aerial,Porcupine,,,
2012,46,miner,Miner,aerial,Porcupine,,,
2013,41,miner,Miner,aerial,Porcupine,,,
1980,194,morley,Morley,aerial,YukonR.Teslinheadwaters,,,
1981,914,morley,Morley,aerial,YukonR.Teslinheadwaters,,,
1982,272,morley,Morley,aerial,YukonR.Teslinheadwaters,,,
1983,425,morley,Morley,aerial,YukonR.Teslinheadwaters,,,
1984,270,morley,Morley,aerial,YukonR.Teslinheadwaters,,,
1985,11,morley,Morley,aerial,YukonR.Teslinheadwaters,,,
1986,,morley,Morley,aerial,YukonR.Teslinheadwaters,,,
2022,10,morley,Morley,aerial,YukonR.Teslinheadwaters,,,
2023,41,morley,Morley,aerial,YukonR.Teslinheadwaters,,,
2024,41,morley,Morley,aerial,YukonR.Teslinheadwaters,,,
1969,105,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
1970,615,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
1971,650,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
1972,237,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
1973,,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
1974,,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
1975,249,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
1976,102,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
1977,77,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
1978,375,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
1979,713,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
1980,975,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
1981,1626,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
1982,578,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
1983,701,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
1984,832,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
1985,409,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
1986,,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
1987,183,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
1988,267,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
1989,695,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
1990,652,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
1992,241,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
1993,339,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
1994,389,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
1995,274,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
1996,719,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
1997,277,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
1998,145,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
1999,330,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
2000,,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
2001,481,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
2002,280,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
2003,687,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
2004,330,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
2005,807,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
2006,601,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
2007,137,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
2009,497,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
2010,288,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
2011,,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
2015,428,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
2016,396,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
2019,22,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
2020,29,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
2021,23,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
2022,60,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
2023,146,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
2024,219,nisutlin,Nisutlin,aerial,YukonR.Teslinheadwaters,,,
2023,638,nisutlin,Nisutlin,sonar,YukonR.Teslinheadwaters,,,
2024,610,nisutlin,Nisutlin,sonar,YukonR.Teslinheadwaters,,,
1981,200,pelly,Pelly,aerial,Pelly,,,
1982,16,pelly,Pelly,aerial,Pelly,,,
1984,87,pelly,Pelly,aerial,Pelly,,,
1985,23,pelly,Pelly,aerial,Pelly,,,
1987,136,pelly,Pelly,aerial,Pelly,,,
1988,132,pelly,Pelly,aerial,Pelly,,,
1989,50,pelly,Pelly,aerial,Pelly,,,
1990,57,pelly,Pelly,aerial,Pelly,,,
2016,5807,pelly,Pelly,sonar,Pelly,,,
2017,9081,pelly,Pelly,sonar,Pelly,,,
2018,9751,pelly,Pelly,sonar,Pelly,,,
2019,6927,pelly,Pelly,sonar,Pelly,,,
2020,5678,pelly,Pelly,sonar,Pelly,,,
2021,4980,pelly,Pelly,sonar,Pelly,,,
2022,,pelly,Pelly,sonar,Pelly,,,
2023,1696,pelly,Pelly,sonar,Pelly,,,
2024,2548,pelly,Pelly,sonar,Pelly,,,
2014,3066,porcupine,Porcupine,sonar,Porcupine,,,
2015,4851,porcupine,Porcupine,sonar,Porcupine,,,
2016,6665,porcupine,Porcupine,sonar,Porcupine,,,
2017,1191,porcupine,Porcupine,sonar,Porcupine,,,
2018,3414,porcupine,Porcupine,sonar,Porcupine,,,
2019,4740,porcupine,Porcupine,sonar,Porcupine,,,
2020,,porcupine,Porcupine,sonar,Porcupine,,,
2021,409,porcupine,Porcupine,sonar,Porcupine,,,
2022,349,porcupine,Porcupine,sonar,Porcupine,,,
2023,512,porcupine,Porcupine,sonar,Porcupine,,,
2024,468,porcupine,Porcupine,sonar,Porcupine,,,
1981,972,ross,Ross,aerial,Pelly,,,
1982,155,ross,Ross,aerial,Pelly,,,
1984,151,ross,Ross,aerial,Pelly,,,
1986,72,ross,Ross,aerial,Pelly,,,
1987,134,ross,Ross,aerial,Pelly,,,
1988,234,ross,Ross,aerial,Pelly,,,
1989,433,ross,Ross,aerial,Pelly,,,
1990,457,ross,Ross,aerial,Pelly,,,
1995,253,ross,Ross,aerial,Pelly,,,
1996,102,ross,Ross,aerial,Pelly,,,
1970,100,tachun,Tachun,foot,MiddleYukonR.andtribs.,,,
1971,130,tachun,Tachun,foot,MiddleYukonR.andtribs.,,,
1972,80,tachun,Tachun,foot,MiddleYukonR.andtribs.,,,
1973,99,tachun,Tachun,foot,MiddleYukonR.andtribs.,,,
1974,192,tachun,Tachun,foot,MiddleYukonR.andtribs.,,,
1975,175,tachun,Tachun,foot,MiddleYukonR.andtribs.,,,
1976,52,tachun,Tachun,foot,MiddleYukonR.andtribs.,,,
1977,150,tachun,Tachun,foot,MiddleYukonR.andtribs.,,,
1978,200,tachun,Tachun,foot,MiddleYukonR.andtribs.,,,
1979,150,tachun,Tachun,foot,MiddleYukonR.andtribs.,,,
1980,222,tachun,Tachun,foot,MiddleYukonR.andtribs.,,,
1981,133,tachun,Tachun,foot,MiddleYukonR.andtribs.,,,
1982,73,tachun,Tachun,foot,MiddleYukonR.andtribs.,,,
1983,264,tachun,Tachun,foot,MiddleYukonR.andtribs.,,,
1984,153,tachun,Tachun,foot,MiddleYukonR.andtribs.,,,
1985,190,tachun,Tachun,foot,MiddleYukonR.andtribs.,,,
1986,155,tachun,Tachun,foot,MiddleYukonR.andtribs.,,,
1987,159,tachun,Tachun,foot,MiddleYukonR.andtribs.,,,
1988,152,tachun,Tachun,foot,MiddleYukonR.andtribs.,,,
1989,100,tachun,Tachun,foot,MiddleYukonR.andtribs.,,,
1990,643,tachun,Tachun,foot,MiddleYukonR.andtribs.,,,
1991,,tachun,Tachun,foot,MiddleYukonR.andtribs.,,,
1992,106,tachun,Tachun,foot,MiddleYukonR.andtribs.,,,
1993,183,tachun,Tachun,foot,MiddleYukonR.andtribs.,,,
1994,477,tachun,Tachun,foot,MiddleYukonR.andtribs.,,,
1995,397,tachun,Tachun,foot,MiddleYukonR.andtribs.,,,
1996,423,tachun,Tachun,foot,MiddleYukonR.andtribs.,,,
1997,1198,tachun,Tachun,weir,MiddleYukonR.andtribs.,,,
1998,405,tachun,Tachun,weir,MiddleYukonR.andtribs.,,,
1999,252,tachun,Tachun,weir,MiddleYukonR.andtribs.,,,
2000,276,tachun,Tachun,weir,MiddleYukonR.andtribs.,,,
2001,,tachun,Tachun,weir,MiddleYukonR.andtribs.,,,
2002,,tachun,Tachun,weir,MiddleYukonR.andtribs.,,,
2003,,tachun,Tachun,weir,MiddleYukonR.andtribs.,,,
2004,,tachun,Tachun,weir,MiddleYukonR.andtribs.,,,
2005,,tachun,Tachun,weir,MiddleYukonR.andtribs.,,,
2006,,tachun,Tachun,weir,MiddleYukonR.andtribs.,,,
2007,,tachun,Tachun,weir,MiddleYukonR.andtribs.,,,
2008,,tachun,Tachun,weir,MiddleYukonR.andtribs.,,,
2009,,tachun,Tachun,weir,MiddleYukonR.andtribs.,,,
2010,,tachun,Tachun,weir,MiddleYukonR.andtribs.,,,
2011,,tachun,Tachun,weir,MiddleYukonR.andtribs.,,,
2012,,tachun,Tachun,weir,MiddleYukonR.andtribs.,,,
2013,,tachun,Tachun,weir,MiddleYukonR.andtribs.,,,
2014,,tachun,Tachun,weir,MiddleYukonR.andtribs.,,,
2015,,tachun,Tachun,weir,MiddleYukonR.andtribs.,,,
2016,,tachun,Tachun,weir,MiddleYukonR.andtribs.,,,
2017,,tachun,Tachun,weir,MiddleYukonR.andtribs.,,,
2018,,tachun,Tachun,weir,MiddleYukonR.andtribs.,,,
2019,,tachun,Tachun,weir,MiddleYukonR.andtribs.,,,
2020,,tachun,Tachun,weir,MiddleYukonR.andtribs.,,,
2021,17,tachun,Tachun,weir,MiddleYukonR.andtribs.,,,
2022,206,tachun,Tachun,weir,MiddleYukonR.andtribs.,,,
2023,82,tachun,Tachun,weir,MiddleYukonR.andtribs.,,,
2024,149,tachun,Tachun,weir,MiddleYukonR.andtribs.,,,
1980,170,tahkini,Tahkini,aerial,UpperYukonR.,,,
1981,1167,tahkini,Tahkini,aerial,UpperYukonR.,,,
1982,,tahkini,Tahkini,aerial,UpperYukonR.,,,
1983,,tahkini,Tahkini,aerial,UpperYukonR.,,,
1986,203,tahkini,Tahkini,aerial,UpperYukonR.,,,
1987,202,tahkini,Tahkini,aerial,UpperYukonR.,,,
1988,225,tahkini,Tahkini,aerial,UpperYukonR.,,,
1989,,tahkini,Tahkini,aerial,UpperYukonR.,,,
2001,249,tahkini,Tahkini,aerial,UpperYukonR.,,,
2002,,tahkini,Tahkini,aerial,UpperYukonR.,,,
2017,423,tahkini,Tahkini,aerial,UpperYukonR.,,,
2018,222,tahkini,Tahkini,aerial,UpperYukonR.,,,
2019,,tahkini,Tahkini,aerial,UpperYukonR.,,,
2020,61,tahkini,Tahkini,aerial,UpperYukonR.,,,
2017,1872,tahkini,Tahkini,sonar,UpperYukonR.,,,
2018,1554,tahkini,Tahkini,sonar,UpperYukonR.,,,
2019,,tahkini,Tahkini,sonar,UpperYukonR.,,,
2020,,tahkini,Tahkini,sonar,UpperYukonR.,,,
2021,247,tahkini,Tahkini,sonar,UpperYukonR.,,,
2022,476,tahkini,Tahkini,sonar,UpperYukonR.,,,
2023,355,tahkini,Tahkini,sonar,UpperYukonR.,,,
2024,1049,tahkini,Tahkini,sonar,UpperYukonR.,,,
2013,9916,teslin,Teslin,sonar,YukonR.Teslinheadwaters,,,
2014,17507,teslin,Teslin,sonar,YukonR.Teslinheadwaters,,,
2015,20463,teslin,Teslin,sonar,YukonR.Teslinheadwaters,,,
1983,100,tincup,Tincup,aerial,Whiteandtribs.,,,
1984,150,tincup,Tincup,aerial,Whiteandtribs.,,,
1985,210,tincup,Tincup,aerial,Whiteandtribs.,,,
1986,228,tincup,Tincup,aerial,Whiteandtribs.,,,
1987,100,tincup,Tincup,aerial,Whiteandtribs.,,,
1988,204,tincup,Tincup,aerial,Whiteandtribs.,,,
1989,88,tincup,Tincup,aerial,Whiteandtribs.,,,
1990,83,tincup,Tincup,aerial,Whiteandtribs.,,,
1992,73,tincup,Tincup,aerial,Whiteandtribs.,,,
1994,,tincup,Tincup,aerial,Whiteandtribs.,,,
1995,121,tincup,Tincup,aerial,Whiteandtribs.,,,
1996,150,tincup,Tincup,aerial,Whiteandtribs.,,,
1997,193,tincup,Tincup,aerial,Whiteandtribs.,,,
1998,53,tincup,Tincup,aerial,Whiteandtribs.,,,
1961,1068,whitehorse,Whitehorse,fishway,UpperYukonR.,0,,
1962,1500,whitehorse,Whitehorse,fishway,UpperYukonR.,0,,
1963,483,whitehorse,Whitehorse,fishway,UpperYukonR.,0,,
1964,595,whitehorse,Whitehorse,fishway,UpperYukonR.,0,,
1965,903,whitehorse,Whitehorse,fishway,UpperYukonR.,0,,
1966,563,whitehorse,Whitehorse,fishway,UpperYukonR.,0,,
1967,533,whitehorse,Whitehorse,fishway,UpperYukonR.,0,,
1968,414,whitehorse,Whitehorse,fishway,UpperYukonR.,0,,
1969,334,whitehorse,Whitehorse,fishway,UpperYukonR.,0,,
1970,625,whitehorse,Whitehorse,fishway,UpperYukonR.,0,,
