stock,Year,Total run,Escapement,Harvest,Harvest rate (%),Harvest CV
Canadian,2019,85412.52222,42217.98414,43194.53808,50.36908209,0.128571558
Canadian,2020,52119.93809,30634.93414,21485.00395,40.99350543,0.155626621
Canadian,2021,33260.21876,31520.32019,1739.898562,5.227864486,0.126471837
Canadian,2022,13354.87691,12005.98202,1348.894882,10.08274024,0.143508469
Canadian,2023,15819.75227,14576.32816,1243.424106,7.850237295,0.141114649
Lower,1981,74113.87117,60535.29831,13578.57286,21.18263462,0.140912364
Lower,1982,73708.19751,44209.41102,29498.78648,40.90076687,0.131097544
Lower,1983,79952.75746,47522.30432,32430.45314,41.22784904,0.134475578
Lower,1984,123613.7529,72555.18428,51058.56866,45.5725762,0.127990569
Lower,1985,144136.4181,77073.67811,67062.73996,46.67835736,0.140912364
Lower,1986,158654.9554,122138.982,36515.97343,23.49596685,0.131097544
Lower,1987,116526.0804,79750.02783,36776.05252,31.94004183,0.134475578
Lower,1988,112829.3688,73895.2097,38934.15907,34.96626881,0.127990569
Lower,1989,91841.45139,46396.64755,45444.80384,51.55465102,0.128515546
Lower,1990,132828.8053,96857.24802,35971.55729,27.92094082,0.135257381
Lower,1991,144799.2951,89071.92371,55727.37136,38.88947021,0.128439122
Lower,1992,72384.02688,36477.86925,35906.15762,49.56461707,0.143929542
Lower,1993,182493.1527,138642.4641,43850.68861,24.43060206,0.136226665
Lower,1994,152394.791,111833.884,40560.90702,27.38434832,0.130780246
Lower,1995,118403.5559,79424.32433,38979.2316,32.94623826,0.139701013
Lower,1996,76482.19345,39014.43124,37467.76221,49.21296509,0.130230535
Lower,1997,153109.4136,97413.29565,55696.11797,36.64905333,0.142866215
Lower,1998,95419.84221,54887.87995,40531.96226,42.83713677,0.142760007
Lower,1999,129401.927,68764.55858,60637.36837,47.5145371,0.130481325
Lower,2000,54595.97938,34601.70364,19994.27574,37.09432041,0.136242213
Lower,2001,107167.9149,84354.63776,22813.27718,21.62783685,0.143071125
Lower,2002,93477.86437,75345.77788,18132.08649,19.38463442,0.128987366
Lower,2003,107605.4682,98483.40554,9122.062653,8.534761976,0.123107603
Lower,2004,102954.3467,75356.19367,27598.15299,26.93627643,0.128508529
Lower,2005,99698.94365,79362.59088,20336.35277,20.47616142,0.117971239
Lower,2006,96164.29944,75070.82696,21093.47249,21.91819153,0.129842566
Lower,2007,81841.22836,67780.61957,14060.60879,17.18496804,0.131906287
Lower,2008,78732.8887,67302.8344,11430.0543,14.5979805,0.125255227
Lower,2009,81881.11524,77154.32749,4726.787751,5.824619931,0.126748405
Lower,2010,50766.76799,38999.90252,11766.86547,23.27027925,0.137307023
Lower,2011,74029.0017,67072.38112,6956.620578,9.44561201,0.125075681
Lower,2012,47606.08401,42414.72076,5191.363245,10.98532789,0.13842444
Lower,2013,42032.36971,39827.70566,2204.664057,5.292575765,0.156086008
Lower,2014,65422.39931,64320.2682,1102.131112,1.704753166,0.169597727
Lower,2015,65120.4662,63882.82717,1237.639036,1.927729288,0.128993897
Lower,2016,53954.10982,50388.46383,3565.645993,6.691514855,0.133122712
Lower,2017,57117.50898,52648.81526,4468.693712,7.924390409,0.158203776
Lower,2018,49531.31471,46217.38603,3313.928683,6.746909637,0.132341508
Lower,2019,85390.63713,76375.94183,9014.695303,10.62719772,0.128571558
Lower,2020,54378.86083,50985.41296,3393.447875,6.298764318,0.155626621
Lower,2021,40888.1834,40555.49147,332.6919367,0.825380431,0.126471837
Lower,2022,15297.55693,14838.73784,458.8190897,3.03768628,0.143508469
Lower,2023,13762.57936,13511.52378,251.0555714,1.852802378,0.141114649
Middle,1981,141413.0442,20716.57844,120696.4657,85.30506564,0.140912364
Middle,1982,100189.8405,49795.495,50394.34554,51.32503854,0.131097544
Middle,1983,133536.8533,52433.16965,81103.68365,61.60567979,0.134475578
Middle,1984,96345.96194,17303.43867,79042.52327,82.05579465,0.127990569
Middle,1985,101161.4817,48585.34096,52576.14074,53.05754588,0.140912364
Middle,1986,83855.36709,65976.44968,17878.91741,22.33691327,0.131097544
Middle,1987,82284.86712,37339.38094,44945.48618,54.83708553,0.134475578
Middle,1988,64133.75704,35532.04181,28601.71523,45.1225656,0.127990569
Middle,1989,56183.21751,27017.53634,29165.68117,52.11986944,0.128515546
Middle,1990,97059.11267,52755.20285,44303.90982,46.20863792,0.135257381
Middle,1991,76089.51791,27222.16384,48867.35407,64.3987448,0.128439122
Middle,1992,80046.73959,33792.30604,46254.43355,58.02223557,0.143929542
Middle,1993,119323.7531,69640.57459,49683.17856,42.04815502,0.136226665
Middle,1994,137826.7545,91244.84042,46581.91407,34.32296263,0.130780246
Middle,1995,155834.5168,99386.03723,56448.47955,37.05868604,0.139701013
Middle,1996,73573.4651,53782.30735,19791.15774,27.70520542,0.130230535
Middle,1997,134044.6325,98232.10731,35812.52521,27.41764546,0.142866215
Middle,1998,50807.55548,30540.97666,20266.57882,41.04455877,0.142760007
Middle,1999,67537.58328,57149.56479,10388.01849,15.8787681,0.130481325
Middle,2000,24742.44339,17106.10156,7636.341825,31.64356085,0.136242213
Middle,2001,69974.10661,58600.96222,11373.14439,16.79683296,0.143071125
Middle,2002,56584.6077,32184.69156,24399.91614,43.18954033,0.128987366
Middle,2003,92019.36705,57271.75113,34747.61592,37.89847178,0.123107603
Middle,2004,80609.80701,47019.84184,33589.96517,41.92328281,0.128508529
Middle,2005,73104.46536,48129.80902,24974.65635,34.33924112,0.117971239
Middle,2006,66530.31857,32550.18997,33980.1286,51.17333623,0.129842566
Middle,2007,60189.43578,27608.41538,32581.0204,54.12868316,0.131906287
Middle,2008,41882.40861,24527.65051,17354.7581,41.60353792,0.125255227
Middle,2009,63414.30132,50899.30763,12514.9937,19.94053144,0.126748405
Middle,2010,46594.06741,26063.46747,20530.59994,44.24785906,0.137307023
Middle,2011,46440.41596,33452.39798,12988.01798,28.18074111,0.125075681
Middle,2012,37551.66113,24140.545,13411.11614,35.90095497,0.13842444
Middle,2013,20227.39197,16437.95449,3789.437475,18.98371689,0.156086008
Middle,2014,45177.6302,44207.97909,969.651118,2.177278143,0.169597727
Middle,2015,50425.03582,47634.49682,2790.538992,5.615604875,0.128993897
Middle,2016,51697.17857,44013.56416,7683.614408,15.03570452,0.133122712
Middle,2017,84946.45469,67129.61918,17816.8355,21.21010289,0.158203776
Middle,2018,51680.16939,41399.13928,10281.03011,20.13739255,0.132341508
Middle,2019,49193.17523,26542.00167,22651.17356,46.36041161,0.128571558
Middle,2020,32596.55075,21645.92128,10950.62947,34.36713699,0.155626621
Middle,2021,28027.16913,27506.39704,520.772091,1.892936936,0.126471837
Middle,2022,8584.82268,8214.695492,370.1271871,4.320248986,0.143508469
Middle,2023,9719.144999,9093.922502,625.2224969,6.506082041,0.141114649
