"year","sex","age","mean_fl","count","source"
1991,"female",4,699.195601008062,7,"FishWheel"
1991,"female",5,746.538688079397,165,"FishWheel"
1991,"female",6,832.389085551093,243,"FishWheel"
1991,"female",7,897.689660696561,59,"FishWheel"
1991,"male",3,470.45319026731,5,"FishWheel"
1991,"male",4,580.102236554656,115,"FishWheel"
1991,"male",5,741.749816261048,385,"FishWheel"
1991,"male",6,893.847346807109,74,"FishWheel"
1991,"male",7,955.700758340698,22,"FishWheel"
1992,"female",3,881.486,1,"FishWheel"
1992,"female",4,769.039840566509,12,"FishWheel"
1992,"female",5,783.90971291124,50,"FishWheel"
1992,"female",6,838.885056914964,225,"FishWheel"
1992,"female",7,856.07737756951,10,"FishWheel"
1992,"female",8,854.546,1,"FishWheel"
1992,"male",3,882.786908846446,11,"FishWheel"
1992,"male",4,700.586458025896,274,"FishWheel"
1992,"male",5,729.946694770351,340,"FishWheel"
1992,"male",6,870.653200533939,248,"FishWheel"
1992,"male",7,907.284239007494,6,"FishWheel"
1993,"female",4,540.246,1,"FishWheel"
1993,"female",5,817.143659497988,53,"FishWheel"
1993,"female",6,836.380473219033,116,"FishWheel"
1993,"female",7,905.335700767887,20,"FishWheel"
1993,"male",3,502.935587394307,15,"FishWheel"
1993,"male",4,564.352697384357,234,"FishWheel"
1993,"male",5,715.729207583244,242,"FishWheel"
1993,"male",6,863.607802729775,78,"FishWheel"
1993,"male",7,956.511590513755,2,"FishWheel"
1994,"female",5,756.810545302942,66,"FishWheel"
1994,"female",6,848.357446948413,122,"FishWheel"
1994,"female",7,886.151612227174,22,"FishWheel"
1994,"male",3,412.847202507883,34,"FishWheel"
1994,"male",4,604.955513466386,84,"FishWheel"
1994,"male",5,716.038437451045,390,"FishWheel"
1994,"male",6,884.414057913323,99,"FishWheel"
1994,"male",7,962.978586363091,13,"FishWheel"
1995,"female",3,459.426,1,"FishWheel"
1995,"female",4,653.674839627606,6,"FishWheel"
1995,"female",5,788.363103366272,34,"FishWheel"
1995,"female",6,832.415201017295,164,"FishWheel"
1995,"female",7,873.119592870077,12,"FishWheel"
1995,"male",3,546.40766653951,24,"FishWheel"
1995,"male",4,580.413374360807,242,"FishWheel"
1995,"male",5,764.319927629446,87,"FishWheel"
1995,"male",6,860.820441832163,107,"FishWheel"
1995,"male",7,962.347804760656,11,"FishWheel"
1996,"female",3,540.246,1,"FishWheel"
1996,"female",4,619.716197614917,28,"FishWheel"
1996,"female",5,729.31388777136,182,"FishWheel"
1996,"female",6,824.16732549337,74,"FishWheel"
1996,"female",7,876.134258680407,22,"FishWheel"
1996,"male",4,680.724935745271,39,"FishWheel"
1996,"male",5,718.812834690653,312,"FishWheel"
1996,"male",6,840.407700353868,42,"FishWheel"
1996,"male",7,900.271039883229,20,"FishWheel"
1997,"female",3,755.766,1,"FishWheel"
1997,"female",4,881.543010130292,7,"FishWheel"
1997,"female",5,791.342291218863,33,"FishWheel"
1997,"female",6,833.880180681096,292,"FishWheel"
1997,"female",7,896.69755247106,7,"FishWheel"
1997,"male",3,691.360053215163,3,"FishWheel"
1997,"male",4,599.649706700449,175,"FishWheel"
1997,"male",5,741.41735384652,157,"FishWheel"
1997,"male",6,870.055365403315,162,"FishWheel"
1997,"male",7,925.810869953923,3,"FishWheel"
1998,"female",4,840.331539283523,7,"FishWheel"
1998,"female",5,791.526409943393,49,"FishWheel"
1998,"female",6,818.742922566723,84,"FishWheel"
1998,"female",7,836.597537500451,22,"FishWheel"
1998,"male",3,681.540889882157,6,"FishWheel"
1998,"male",4,622.816720213572,68,"FishWheel"
1998,"male",5,707.109405867501,375,"FishWheel"
1998,"male",6,816.296749706716,71,"FishWheel"
1998,"male",7,900.824931136832,11,"FishWheel"
1999,"female",5,754.237134697936,25,"FishWheel"
1999,"female",6,804.032218206707,205,"FishWheel"
1999,"female",7,768.093790892401,4,"FishWheel"
1999,"male",3,504.615463024253,2,"FishWheel"
1999,"male",4,509.234426925762,75,"FishWheel"
1999,"male",5,728.118345491128,158,"FishWheel"
1999,"male",6,814.363052910465,114,"FishWheel"
1999,"male",7,931.948578059199,3,"FishWheel"
2000,"female",4,757.532997194912,13,"FishWheel"
2000,"female",5,773.394951722552,34,"FishWheel"
2000,"female",6,795.765436234185,123,"FishWheel"
2000,"female",7,863.243034285381,24,"FishWheel"
2000,"male",4,632.912710074233,119,"FishWheel"
2000,"male",5,678.47870337618,261,"FishWheel"
2000,"male",6,796.41068656034,108,"FishWheel"
2000,"male",7,943.279027775736,9,"FishWheel"
2001,"female",5,721.609059030317,9,"FishWheel"
2001,"female",6,813.095900885868,64,"FishWheel"
2001,"female",7,822.726474362461,14,"FishWheel"
2001,"female",8,854.546,1,"FishWheel"
2001,"male",4,583.252422538339,46,"FishWheel"
2001,"male",5,694.768422696666,190,"FishWheel"
2001,"male",6,801.357605304852,105,"FishWheel"
2001,"male",7,862.472240658967,8,"FishWheel"
2002,"female",4,543.990976907603,4,"FishWheel"
2002,"female",5,721.977770593081,28,"FishWheel"
2002,"female",6,807.941846937746,98,"FishWheel"
2002,"female",7,887.484076178446,25,"FishWheel"
2002,"male",3,353.876448070929,9,"FishWheel"
2002,"male",4,535.606314065827,323,"FishWheel"
2002,"male",5,703.292096147901,246,"FishWheel"
2002,"male",6,888.06565875198,66,"FishWheel"
2002,"male",7,888.555710743545,2,"FishWheel"
2003,"female",3,423.506,1,"FishWheel"
2003,"female",4,643.579857147751,7,"FishWheel"
2003,"female",5,794.719912145033,46,"FishWheel"
2003,"female",6,854.779883194784,175,"FishWheel"
2003,"female",7,897.190434447564,16,"FishWheel"
2003,"male",3,423.506,1,"FishWheel"
2003,"male",4,544.875275400048,89,"FishWheel"
2003,"male",5,744.288948919609,417,"FishWheel"
2003,"male",6,867.488239166738,146,"FishWheel"
2003,"male",7,937.606574511155,8,"FishWheel"
2004,"female",5,773.521570787005,14,"FishWheel"
2004,"female",6,850.323177866804,135,"FishWheel"
2004,"female",7,922.017664977287,9,"FishWheel"
2004,"male",4,609.18703030423,158,"FishWheel"
2004,"male",5,713.276553271584,247,"FishWheel"
2004,"male",6,861.489680155135,72,"FishWheel"
2005,"female",5,767.756596048102,22,"FishWheel"
2005,"female",6,824.26166864398,52,"FishWheel"
2005,"female",7,872.757284937456,3,"FishWheel"
2005,"male",3,423.506,1,"FishWheel"
2005,"male",4,594.273886467866,36,"FishWheel"
2005,"male",5,744.201431793256,100,"FishWheel"
2005,"male",6,838.886013017082,47,"FishWheel"
2005,"male",7,1034.146,1,"FishWheel"
2006,"female",4,764.746,1,"FishWheel"
2006,"female",5,789.768462947519,77,"FishWheel"
2006,"female",6,823.130630331135,110,"FishWheel"
2006,"female",7,937.735027439406,2,"FishWheel"
2006,"male",4,604.157152879527,148,"FishWheel"
2006,"male",5,734.840035748841,358,"FishWheel"
2006,"male",6,870.394964421475,37,"FishWheel"
2007,"female",3,863.526,1,"FishWheel"
2007,"female",4,728.826,1,"FishWheel"
2007,"female",5,770.712267272919,19,"FishWheel"
2007,"female",6,821.772925854757,143,"FishWheel"
2007,"female",7,836.841110720117,9,"FishWheel"
2007,"male",3,465.842307522817,2,"FishWheel"
2007,"male",4,574.313911455127,152,"FishWheel"
2007,"male",5,720.13015804094,288,"FishWheel"
2007,"male",6,824.0874576645,91,"FishWheel"
2007,"male",7,762.020879562161,7,"FishWheel"
2008,"female",5,738.871590713172,40,"FishWheel"
2008,"female",6,827.011213016968,77,"FishWheel"
2008,"female",7,916.032512635604,5,"FishWheel"
2008,"male",4,609.228373390609,51,"FishWheel"
2008,"male",5,693.904081125486,512,"FishWheel"
2008,"male",6,823.696177513285,45,"FishWheel"
2008,"male",7,865.586699387041,3,"FishWheel"
2010,"female",4,749.136936845037,5,"FishWheel"
2010,"female",5,774.703425881234,44,"FishWheel"
2010,"female",6,805.991808885229,68,"FishWheel"
2010,"female",7,888.090226864616,7,"FishWheel"
2010,"male",3,427.583874027708,22,"FishWheel"
2010,"male",4,610.49457672929,269,"FishWheel"
2010,"male",5,731.519812704019,261,"FishWheel"
2010,"male",6,853.321805908364,51,"FishWheel"
2010,"male",7,928.890902679203,5,"FishWheel"
2011,"female",4,837.107551452003,4,"FishWheel"
2011,"female",5,789.83582200485,62,"FishWheel"
2011,"female",6,843.417714920542,233,"FishWheel"
2011,"female",7,848.669602224191,6,"FishWheel"
2011,"male",3,396.566,1,"FishWheel"
2011,"male",4,577.930619405203,279,"FishWheel"
2011,"male",5,725.905983286101,668,"FishWheel"
2011,"male",6,866.979246792834,205,"FishWheel"
2011,"male",7,893.885437333517,4,"FishWheel"
2012,"female",4,818.626,1,"FishWheel"
2012,"female",5,785.682170695461,38,"FishWheel"
2012,"female",6,825.898190573574,141,"FishWheel"
2012,"female",7,827.606,1,"FishWheel"
2012,"male",3,495.346,1,"FishWheel"
2012,"male",4,582.162490022304,116,"FishWheel"
2012,"male",5,716.310219282012,276,"FishWheel"
2012,"male",6,834.118261971113,80,"FishWheel"
2012,"male",7,777.926105734508,4,"FishWheel"
2005,"female",5,794.058823529412,17,"Gillnet"
2005,"female",6,838.179487179487,39,"Gillnet"
2005,"female",7,990,2,"Gillnet"
2005,"male",4,603.571428571429,14,"Gillnet"
2005,"male",5,738.869565217391,69,"Gillnet"
2005,"male",6,845.153846153846,26,"Gillnet"
2005,"male",7,918.75,4,"Gillnet"
2006,"female",4,622.5,12,"Gillnet"
2006,"female",5,754.186046511628,43,"Gillnet"
2006,"female",6,831.585365853659,41,"Gillnet"
2006,"female",7,830,1,"Gillnet"
2006,"male",4,593.870967741935,31,"Gillnet"
2006,"male",5,731.666666666667,111,"Gillnet"
2006,"male",6,842.058823529412,17,"Gillnet"
2007,"female",4,602.5,2,"Gillnet"
2007,"female",5,777,25,"Gillnet"
2007,"female",6,853.55,140,"Gillnet"
2007,"female",7,900,2,"Gillnet"
2007,"male",4,560,20,"Gillnet"
2007,"male",5,726.793893129771,131,"Gillnet"
2007,"male",6,838.623188405797,69,"Gillnet"
2008,"female",5,756.71875,32,"Gillnet"
2008,"female",6,856.358695652174,92,"Gillnet"
2008,"female",7,865,14,"Gillnet"
2008,"male",4,583,10,"Gillnet"
2008,"male",5,722.625698324022,179,"Gillnet"
2008,"male",6,867.333333333333,45,"Gillnet"
2008,"male",7,1000,3,"Gillnet"
2009,"female",5,823.04347826087,23,"Gillnet"
2009,"female",6,845.858369098713,233,"Gillnet"
2009,"male",4,614.7,50,"Gillnet"
2009,"male",5,733.697916666667,192,"Gillnet"
2009,"male",6,834.731543624161,149,"Gillnet"
2010,"female",5,764.027777777778,36,"Gillnet"
2010,"female",6,838.258426966292,89,"Gillnet"
2010,"female",7,874.545454545455,11,"Gillnet"
2010,"male",4,578.2,25,"Gillnet"
2010,"male",5,722.708333333333,120,"Gillnet"
2010,"male",6,828.173076923077,52,"Gillnet"
2010,"male",7,910,3,"Gillnet"
2011,"female",4,575,1,"Gillnet"
2011,"female",5,725.892857142857,28,"Gillnet"
2011,"female",6,863.01226993865,163,"Gillnet"
2011,"female",7,844.782608695652,23,"Gillnet"
2011,"male",4,584.375,8,"Gillnet"
2011,"male",5,707.34375,96,"Gillnet"
2011,"male",6,853.888888888889,90,"Gillnet"
2011,"male",7,861.5,10,"Gillnet"
2012,"female",5,770.133333333333,15,"Gillnet"
2012,"female",6,838.020408163265,98,"Gillnet"
2012,"female",7,863.111111111111,9,"Gillnet"
2012,"male",3,313,1,"Gillnet"
2012,"male",4,582.8,15,"Gillnet"
2012,"male",5,699.258620689655,58,"Gillnet"
2012,"male",6,815.041666666667,48,"Gillnet"
2012,"male",7,792.5,2,"Gillnet"
2013,"female",5,751.190476190476,21,"Gillnet"
2013,"female",6,850.140186915888,107,"Gillnet"
2013,"female",7,891.444444444444,9,"Gillnet"
2013,"male",4,561.727272727273,11,"Gillnet"
2013,"male",5,721.307692307692,52,"Gillnet"
2013,"male",6,846.573770491803,61,"Gillnet"
2013,"male",7,916.75,4,"Gillnet"
2014,"female",5,747.714285714286,42,"Gillnet"
2014,"female",6,843.025157232704,159,"Gillnet"
2014,"female",7,864,12,"Gillnet"
2014,"male",3,405,1,"Gillnet"
2014,"male",4,570,40,"Gillnet"
2014,"male",5,709.522727272727,264,"Gillnet"
2014,"male",6,862.238095238095,84,"Gillnet"
2014,"male",7,898.5,4,"Gillnet"
2015,"female",5,781.138888888889,72,"Gillnet"
2015,"female",6,839.617940199336,301,"Gillnet"
2015,"female",7,876.411764705882,17,"Gillnet"
2015,"male",3,435.333333333333,3,"Gillnet"
2015,"male",4,588.6,100,"Gillnet"
2015,"male",5,731.666666666667,246,"Gillnet"
2015,"male",6,825.429347826087,184,"Gillnet"
2015,"male",7,896.666666666667,3,"Gillnet"
2016,"female",5,787.10101010101,99,"Gillnet"
2016,"female",6,845.725663716814,113,"Gillnet"
2016,"female",7,841.25,4,"Gillnet"
2016,"male",4,616.885245901639,61,"Gillnet"
2016,"male",5,736.056886227545,334,"Gillnet"
2016,"male",6,816.545454545455,55,"Gillnet"
2017,"female",5,785.908163265306,98,"Gillnet"
2017,"female",6,850.242307692308,260,"Gillnet"
2017,"female",7,806.5,8,"Gillnet"
2017,"male",3,512,1,"Gillnet"
2017,"male",4,596.666666666667,30,"Gillnet"
2017,"male",5,749.987288135593,236,"Gillnet"
2017,"male",6,850.709302325581,86,"Gillnet"
2018,"female",4,678,1,"Gillnet"
2018,"female",5,762.623188405797,69,"Gillnet"
2018,"female",6,833.587443946188,223,"Gillnet"
2018,"female",7,870,11,"Gillnet"
2018,"male",4,593.676056338028,71,"Gillnet"
2018,"male",5,722.155172413793,232,"Gillnet"
2018,"male",6,853.239130434783,92,"Gillnet"
2018,"male",7,706,1,"Gillnet"
2019,"female",5,759.307692307692,91,"Gillnet"
2019,"female",6,836.840236686391,169,"Gillnet"
2019,"female",7,858.2,5,"Gillnet"
2019,"male",4,586.723404255319,47,"Gillnet"
2019,"male",5,727.197740112994,177,"Gillnet"
2019,"male",6,872.126984126984,63,"Gillnet"
2019,"male",7,861.5,2,"Gillnet"
2020,"female",3,430,1,"Gillnet"
2020,"female",4,571.714285714286,7,"Gillnet"
2020,"female",5,733.483333333333,60,"Gillnet"
2020,"female",6,831.472392638037,163,"Gillnet"
2020,"female",7,884.25,8,"Gillnet"
2020,"male",4,562.133333333333,15,"Gillnet"
2020,"male",5,712.951923076923,104,"Gillnet"
2020,"male",6,834.142857142857,63,"Gillnet"
2020,"male",7,946.5,6,"Gillnet"
2021,"female",5,752.625,24,"Gillnet"
2021,"female",6,813.955752212389,113,"Gillnet"
2021,"female",7,842.4,10,"Gillnet"
2021,"male",4,619.142857142857,7,"Gillnet"
2021,"male",5,699.459677419355,124,"Gillnet"
2021,"male",6,825.021739130435,46,"Gillnet"
2021,"male",7,836.666666666667,3,"Gillnet"
2022,"female",4,769,1,"Gillnet"
2022,"female",5,761.571428571429,7,"Gillnet"
2022,"female",6,832.97619047619,42,"Gillnet"
2022,"female",7,864.333333333333,3,"Gillnet"
2022,"male",4,582.666666666667,6,"Gillnet"
2022,"male",5,701.547619047619,42,"Gillnet"
2022,"male",6,794.25,16,"Gillnet"
2022,"male",7,860,2,"Gillnet"
2023,"female",5,745,10,"Gillnet"
2023,"female",6,829.774193548387,31,"Gillnet"
2023,"female",7,865.25,4,"Gillnet"
2023,"female",8,774,1,"Gillnet"
2023,"male",4,582.4,5,"Gillnet"
2023,"male",5,690.861111111111,72,"Gillnet"
2023,"male",6,809.571428571429,28,"Gillnet"
2023,"male",7,906,4,"Gillnet"
2024,"female",5,755.727272727273,11,"Gillnet"
2024,"female",6,823.58,50,"Gillnet"
2024,"female",7,797.5,4,"Gillnet"
2024,"male",4,560.136363636364,22,"Gillnet"
2024,"male",5,680.986666666667,75,"Gillnet"
2024,"male",6,844,24,"Gillnet"
