"HCR","escapement","harvest","cdn.harvest","ER","pr.closed","n.below.lwr","n.between.bench","n.above.upr","n.above.reb","n.extinct","prob"
"fixed.ER.10",33458.1097463572,3761.54445000926,865.15522350213,0.101545950255086,0,4,3,4,2,0,"q_75"
"fixed.ER.10",28998.7406092418,3224.70517146915,741.683400008573,0.100076150986342,0,3.116,1.814,2.939,1.108,0.023,"mean"
"fixed.ER.100",3.08455986143027,583.302159629394,134.159496714761,0.240686034099155,0.380952380952381,0,0,0,0,9,"q_25"
"fixed.ER.100",18.2816789214232,1038.82058077271,238.928733577724,0.318543951703328,0.571428571428571,0,0,0,0,9,"median"
"fixed.ER.100",50.6774529046258,1702.05713306882,391.473140605831,0.378226832442297,0.714285714285714,0,0,0,0,9,"q_75"
"fixed.ER.100",38.787424033241,1273.09102752273,293.042677958453,0.305071310859509,0.538047619047619,0.005,0,0,0.001,8.994,"mean"
"fixed.ER.15",21421.5581184092,3751.7945795106,862.912753287438,0.147688472646746,0,3,1,2,0,0,"q_25"
"fixed.ER.15",25817.103103549,4573.99555744508,1052.01897821237,0.149832818437698,0,4,2,3,1,0,"median"
"fixed.ER.15",30982.3244578959,5461.59861949024,1256.16768248276,0.152026348517271,0,4,2,3,1,0,"q_75"
"fixed.ER.15",26636.0827490061,4697.57601574949,1080.48612071458,0.149909287084889,0,3.546,1.773,2.662,0.969,0.05,"mean"
"fixed.ER.20",19398.1005097692,4866.36165942847,1119.26318166855,0.197021199835865,0,3,1,2,0,0,"q_25"
"fixed.ER.20",23598.9666427371,5870.39217456449,1350.19020014983,0.199905098567145,0,4,1,2,1,0,"median"
"fixed.ER.20",28627.6192905449,7185.83852885363,1652.74286163633,0.20265195579738,0,5,2,3,1,0,"q_75"
"fixed.ER.20",24238.799507933,6055.07815764116,1392.80550825283,0.199865442238743,0,3.939,1.564,2.524,0.892,0.081,"mean"
"fixed.ER.25",17454.0799948221,5806.41240552643,1335.47485327108,0.246364626643561,0,3,1,2,0,0,"q_25"
"fixed.ER.25",21217.1115072949,7064.16412596899,1624.75774897287,0.249914152012063,0,4,1,2,1,0,"median"
"fixed.ER.25",26131.3914884683,8643.82409930095,1988.11497550039,0.253495716548954,0,5,2,3,1,0,"q_75"
"fixed.ER.25",22117.914969514,7369.06238873762,1695.18527780304,0.249857487841463,0,4.231,1.489,2.38,0.782,0.118,"mean"
"fixed.ER.30",16130.7183415735,6801.91313600147,1564.44002128034,0.295405447261515,0,4,1,1,0,0,"q_25"
"fixed.ER.30",19744.8782190514,8438.06441926805,1940.75481643165,0.299861633639762,0,5,1,2,1,0,"median"
"fixed.ER.30",23466.048852228,10094.2038603233,2323.57558607818,0.304145229669462,0,5,2,3,1,0,"q_75"
"fixed.ER.30",20105.4464174991,8616.44549181964,1983.14105422978,0.299778807480258,0,4.539,1.349,2.171,0.746,0.195,"mean"
"fixed.ER.35",13691.9448823534,7432.4161363692,1709.45571136491,0.345161798494432,0,4,0,1,0,0,"q_25"
"fixed.ER.35",16677.9665109804,8989.38635429677,2069.03633493992,0.350373290605398,0,5,1,2,1,0,"median"
"fixed.ER.35",20258.1217530123,10954.7718408831,2519.59752340313,0.355046357964708,0,6,2,3,1,1,"q_75"
"fixed.ER.35",17377.1280245137,9373.49302716568,2158.56851096391,0.349976107328186,0,4.822,1.194,1.937,0.713,0.334,"mean"
"fixed.ER.40",12559.7109846692,8463.17235085681,1946.52964069707,0.393526005786626,0,4,0,1,0,0,"q_25"
"fixed.ER.40",15251.0987182211,10117.7638898556,2327.42328661294,0.399843219638939,0,5,1,2,1,0,"median"
"fixed.ER.40",18701.8413938382,12559.8359496162,2889.37665249033,0.405524355952094,0,6,2,2,1,1,"q_75"
"fixed.ER.40",15961.9785025749,10661.7436469036,2456.78772347179,0.399524582974059,0,4.906,1.136,1.786,0.617,0.555,"mean"
"fixed.ER.45",10565.6830142861,8695.90528388245,2001.33461496727,0.442353688269123,0,4,0,1,0,0,"q_25"
"fixed.ER.45",13159.8575994424,10803.2314650287,2490.67092860807,0.448684973243546,0,5,1,2,1,1,"median"
"fixed.ER.45",16188.5557212952,13208.0914015483,3046.43619385909,0.455812482603223,0,6,2,2,1,1,"q_75"
"fixed.ER.45",13672.4125199077,11220.9204180361,2585.79955757293,0.448806698600255,0,4.94,0.966,1.627,0.593,0.874,"mean"
"fixed.ER.5",25506.0579829199,1342.42479562875,308.757702994613,0.0492360676164439,0,2,1,2,0,0,"q_25"
"fixed.ER.5",31001.9292745929,1635.22861395232,376.102581209033,0.0499613294887004,0,3,2,3,1,0,"median"
