cu,year,mean,lower,upper,cv,dispersion
NorthernYukonR.andtribs.,2024,2801.64411,1984.157766,3619.130454,0.145894038,0.02
Whiteandtribs.,1985,2343.995242,1414.29677,3273.693713,0.198314923,0.02
Whiteandtribs.,1986,5536.385548,3683.813946,7388.95715,0.16730876,0.02
Whiteandtribs.,1987,2381.495953,1558.491767,3204.50014,0.172791431,0.02
Whiteandtribs.,1988,1101.276657,10,2427.074725,0.548698347,0.02
Whiteandtribs.,1989,1905.521916,10,6436.266955,0.843111131,0.02
Whiteandtribs.,1990,1295.06423,10,3556.565619,0.684631221,0.02
Whiteandtribs.,1991,936.4684617,279.2785176,1593.658406,0.350887388,0.02
Whiteandtribs.,1992,4434.739653,2856.237003,6013.242303,0.17797016,0.02
Whiteandtribs.,1993,8103.236096,5536.438048,10670.03414,0.158381048,0.02
Whiteandtribs.,1994,6967.464293,5332.438086,8602.4905,0.117332945,0.02
Whiteandtribs.,1995,4279.68027,2667.972443,5891.388097,0.188297691,0.02
Whiteandtribs.,1996,10365.16653,7810.497601,12919.83546,0.123233376,0.02
Whiteandtribs.,1997,4935.497197,2909.069425,6961.924968,0.205291148,0.02
Whiteandtribs.,1998,3778.535342,745.6308054,6811.439879,0.401333356,0.02
Whiteandtribs.,1999,3187.980919,2226.665443,4149.296395,0.150771836,0.02
Whiteandtribs.,2000,6011.886064,4145.711505,7878.060623,0.15520708,0.02
Whiteandtribs.,2001,5384.20844,2967.715422,7800.701459,0.224405597,0.02
Whiteandtribs.,2002,2557.524989,1586.562393,3528.487584,0.189824655,0.02
Whiteandtribs.,2003,4081.462532,2514.033474,5648.891589,0.192018063,0.02
Whiteandtribs.,2004,3312.665438,1724.767759,4900.563118,0.239670699,0.02
Whiteandtribs.,2005,4216.473301,2712.932151,5720.014451,0.178293688,0.02
Whiteandtribs.,2006,3045.545525,932.1076564,5158.983394,0.346971971,0.02
Whiteandtribs.,2007,3045.387415,1876.923266,4213.851565,0.191841626,0.02
Whiteandtribs.,2008,2018.710826,1440.304574,2597.117077,0.143261294,0.02
Whiteandtribs.,2009,3938.315128,2882.733461,4993.896796,0.134014373,0.02
Whiteandtribs.,2010,924.7438313,209.9452302,1639.542432,0.386484655,0.02
Whiteandtribs.,2011,2366.73253,1703.196828,3030.268232,0.140179698,0.02
Whiteandtribs.,2012,2880.805535,1770.200704,3991.410367,0.192759424,0.02
Whiteandtribs.,2013,122.1650154,10,370.2326982,0.737184654,0.02
Whiteandtribs.,2014,5033.588536,3730.882265,6336.294806,0.129401347,0.02
Whiteandtribs.,2015,5633.85657,4600.107047,6667.606092,0.091744395,0.02
Whiteandtribs.,2016,2572.328169,1554.031838,3590.624501,0.197932819,0.02
Whiteandtribs.,2017,3362.067004,2219.697082,4504.436926,0.169891011,0.02
Whiteandtribs.,2018,2843.125062,1739.478863,3946.771261,0.194090336,0.02
Whiteandtribs.,2019,3411.13534,2159.553273,4662.717406,0.183455352,0.02
Whiteandtribs.,2020,446.7080784,160.3678644,733.0482923,0.320500376,0.02
Whiteandtribs.,2021,4392.284242,3883.21444,4901.354045,0.057950462,0.02
Whiteandtribs.,2022,554.750846,10,1358.512355,0.607710815,0.02
Whiteandtribs.,2023,1007.864388,354.3772748,1661.351502,0.32419397,0.02
Whiteandtribs.,2024,768.9798913,15.08118979,1522.878593,0.490194029,0.02
Pelly,1985,7895.445179,6193.910825,9596.979532,0.107754174,0.02
Pelly,1986,14291.4212,11310.42864,17272.41376,0.104293076,0.02
Pelly,1987,8535.187672,7068.951015,10001.42433,0.085893639,0.02
Pelly,1988,5169.122627,1948.233522,8390.011731,0.311550851,0.02
Pelly,1989,10881.68915,3515.622461,18247.75583,0.338461547,0.02
Pelly,1990,21531.35451,13771.39354,29291.31549,0.180201412,0.02
Pelly,1991,10113.10477,8126.21398,12099.99557,0.098233472,0.02
Pelly,1992,14049.52468,11195.94559,16903.10378,0.101554293,0.02
Pelly,1993,5654.581189,4308.863258,7000.29912,0.118993599,0.02
Pelly,1994,6420.797779,4976.638267,7864.957291,0.112459508,0.02
Pelly,1995,8326.512884,6115.843213,10537.18256,0.132748829,0.02
Pelly,1996,7490.181831,5453.804599,9526.559063,0.135936435,0.02
Pelly,1997,9394.671537,6902.940742,11886.40233,0.132614045,0.02
Pelly,1998,6914.893121,2557.747247,11272.03899,0.315055186,0.02
Pelly,1999,5166.736123,3952.922065,6380.55018,0.117464297,0.02
Pelly,2000,10539.93962,8230.023516,12849.85573,0.109579191,0.02
Pelly,2001,11081.06111,6114.961501,16047.16071,0.224080508,0.02
Pelly,2002,4185.218833,3079.646375,5290.79129,0.132080603,0.02
Pelly,2003,11648.43175,9530.959835,13765.90365,0.090890858,0.02
Pelly,2004,8862.630329,7018.143114,10707.11754,0.104059808,0.02
Pelly,2005,10960.31701,8688.113922,13232.52011,0.103655902,0.02
Pelly,2006,12533.86649,8978.495522,16089.23747,0.141830575,0.02
Pelly,2007,7685.479136,6039.586439,9331.371833,0.10707808,0.02
Pelly,2008,4103.413473,3555.75366,4651.073285,0.066732224,0.02
Pelly,2009,19166.11125,17271.00631,21061.21619,0.049438953,0.02
Pelly,2010,10280.02793,8748.817551,11811.23831,0.074475011,0.02
Pelly,2011,8506.378684,7478.952334,9533.805035,0.060391524,0.02
Pelly,2012,6552.034519,5018.763665,8085.305372,0.117007233,0.02
Pelly,2013,8865.871903,7324.164293,10407.57951,0.086946192,0.02
Pelly,2014,6738.961986,5855.252768,7622.671204,0.065567162,0.02
Pelly,2015,16839.9282,15220.3808,18459.4756,0.048086529,0.02
Pelly,2016,13528.50602,11588.55336,15468.45867,0.071698702,0.02
Pelly,2017,8627.836758,7233.895918,10021.7776,0.080781596,0.02
Pelly,2018,7830.668562,6205.382634,9455.95449,0.103776958,0.02
Pelly,2019,4672.562045,4451.3758,4893.74829,0.023668626,0.02
Pelly,2020,5567.866623,4812.635926,6323.09732,0.067820473,0.02
Pelly,2021,4061.025995,3239.170515,4882.881476,0.101188158,0.02
Pelly,2022,978.3889141,552.7942271,1403.983601,0.217497705,0.02
Pelly,2023,1889.257808,1055.753336,2722.76228,0.220590453,0.02
Pelly,2024,1603.921933,1155.112919,2052.730946,0.139909869,0.02
Stewart,1985,5606.201324,4145.753956,7066.648691,0.130252847,0.02
Stewart,1986,7000.965212,4834.824537,9167.105887,0.154703002,0.02
Stewart,1987,2229.41424,1446.400141,3012.428339,0.175609827,0.02
Stewart,1988,1808.099131,10,3991.861318,0.550559044,0.02
Stewart,1989,2531.747531,10,7102.071665,0.700313872,0.02
Stewart,1990,3249.697099,10,8513.545498,0.654179854,0.02
Stewart,1991,3352.747693,2203.099983,4502.395403,0.171448587,0.02
Stewart,1992,3032.080982,1666.445524,4397.716441,0.225197722,0.02
Stewart,1993,1190.293236,589.4613153,1791.125156,0.252388194,0.02
Stewart,1994,3154.571907,2129.316983,4179.826832,0.16250302,0.02
Stewart,1995,6688.924018,4711.304446,8666.54359,0.147827929,0.02
Stewart,1996,2862.323482,1729.843491,3994.803474,0.197825298,0.02
Stewart,1997,5085.336767,3222.673267,6948.000266,0.183140624,0.02
Stewart,1998,2945.28961,10,6116.125947,0.518295886,0.02
Stewart,1999,1888.139573,1155.558737,2620.720409,0.193995414,0.02
Stewart,2000,2754.148067,1570.782338,3937.513795,0.214833353,0.02
Stewart,2001,4582.023933,1590.961655,7573.08621,0.326390949,0.02
Stewart,2002,2638.443845,1747.499166,3529.388524,0.168839045,0.02
Stewart,2003,1458.031798,752.8030965,2163.260499,0.241842703,0.02
Stewart,2004,2666.859127,1650.911363,3682.806892,0.190476459,0.02
Stewart,2005,13297.23828,11066.69333,15527.78323,0.083872489,0.02
Stewart,2006,5956.740475,3117.688215,8795.792735,0.238305855,0.02
Stewart,2007,9666.106068,8156.563808,11175.64833,0.0780843,0.02
Stewart,2008,1858.449091,1382.338706,2334.559477,0.12809347,0.02
Stewart,2009,6061.440125,4785.405688,7337.474562,0.105258355,0.02
Stewart,2010,1349.438661,466.1792986,2232.698023,0.327269178,0.02
Stewart,2011,1785.360957,1251.443175,2319.278739,0.149526565,0.02
Stewart,2012,621.3427227,82.26919157,1160.416254,0.433797252,0.02
Stewart,2013,2398.870002,1391.189435,3406.55057,0.210032342,0.02
Stewart,2014,2161.028908,1573.361616,2748.696199,0.135969327,0.02
Stewart,2015,5177.005725,4079.35327,6274.65818,0.106012289,0.02
Stewart,2016,5761.479353,4330.497052,7192.461654,0.124185319,0.02
Stewart,2017,2844.828651,2008.326844,3681.330458,0.147021475,0.02
Stewart,2018,4865.656202,4112.303228,5619.009175,0.077415352,0.02
Stewart,2019,3619.497568,2544.87964,4694.115496,0.148448494,0.02
Stewart,2020,1623.21034,1126.503063,2119.917616,0.153001513,0.02
Stewart,2021,2059.16987,1501.56919,2616.770551,0.135394532,0.02
Stewart,2022,33.70796596,10,114.6250465,0.775966774,0.02
Stewart,2023,536.9089876,37.17175591,1036.646219,0.46538356,0.02
Stewart,2024,2575.417547,1286.198901,3864.636194,0.250293132,0.02
Nordenskiold,1985,3152.922515,2432.712446,3873.132584,0.114213094,0.02
Nordenskiold,1986,1584.998843,1095.126958,2074.870728,0.15453383,0.02
Nordenskiold,1987,463.7221075,259.3949281,668.049287,0.220312097,0.02
Nordenskiold,1988,564.0991898,221.5406439,906.6577358,0.303633255,0.02
Nordenskiold,1989,329.7923859,135.7879725,523.7967992,0.294131129,0.02
Nordenskiold,1990,288.5870766,122.185325,454.9888281,0.288304233,0.02
Nordenskiold,1991,368.0524082,88.36909048,647.7357259,0.379950398,0.02
Nordenskiold,1992,572.6602011,229.881788,915.4386141,0.299286045,0.02
Nordenskiold,1993,918.316626,526.9011082,1309.732144,0.213115774,0.02
Nordenskiold,1994,2304.765931,1614.829125,2994.702737,0.149676112,0.02
Nordenskiold,1995,5783.990446,4579.730965,6988.249927,0.104102824,0.02
Nordenskiold,1996,3380.718978,2644.261791,4117.176165,0.108920202,0.02
Nordenskiold,1997,1158.226925,794.3138132,1522.140037,0.157099228,0.02
Nordenskiold,1998,2467.356172,1916.38354,3018.328803,0.111652431,0.02
Nordenskiold,1999,1696.606909,1164.772555,2228.441264,0.156734701,0.02
Nordenskiold,2000,3391.277808,2536.800211,4245.755404,0.125981657,0.02
Nordenskiold,2001,7740.144007,2552.799634,12927.48838,0.335093531,0.02
Nordenskiold,2002,1103.442254,748.1998537,1458.684655,0.160970091,0.02
Nordenskiold,2003,1058.021613,688.5102774,1427.532949,0.174623718,0.02
Nordenskiold,2004,2351.026633,1809.499373,2892.553893,0.115168253,0.02
Nordenskiold,2005,1896.483316,10,4100.638865,0.539240028,0.02
Nordenskiold,2006,3905.099636,3587.799691,4222.399582,0.040626357,0.02
Nordenskiold,2007,1985.735253,1880.124947,2091.345559,0.026592242,0.02
Nordenskiold,2008,3663.377341,2539.823966,4786.930716,0.153349392,0.02
Nordenskiold,2009,2348.008299,2178.551148,2517.46545,0.036085296,0.02
Nordenskiold,2010,2259.141871,2122.216976,2396.066767,0.030304625,0.02
Nordenskiold,2011,635.7509205,312.5724732,958.9293678,0.254170648,0.02
Nordenskiold,2012,978.294671,10,2552.140304,0.649635631,0.02
Nordenskiold,2013,2304.25415,2078.124846,2530.383454,0.049067787,0.02
Nordenskiold,2014,782.9308659,409.693914,1156.167818,0.238358818,0.02
Nordenskiold,2015,4522.688315,4046.089999,4999.286631,0.052689715,0.02
Nordenskiold,2016,4861.700173,4602.434926,5120.965421,0.026664051,0.02
Nordenskiold,2017,3367.66102,3020.374921,3714.947118,0.051561914,0.02
Nordenskiold,2018,645.6795698,269.0827388,1022.276401,0.291628269,0.02
Nordenskiold,2019,1620.432692,487.198169,2753.667214,0.349670347,0.02
Nordenskiold,2020,1927.247256,1542.487478,2312.007035,0.099821073,0.02
Nordenskiold,2021,1317.393848,1216.409977,1418.377719,0.038327138,0.02
Nordenskiold,2022,670.0138031,606.3136617,733.7139444,0.04753644,0.02
Nordenskiold,2023,1532.189647,1373.568664,1690.810631,0.051762843,0.02
Nordenskiold,2024,2060.822926,1862.332909,2259.312942,0.04815795,0.02
YukonR.Teslinheadwaters,1985,8446.079322,6703.534306,10188.62434,0.103157036,0.02
YukonR.Teslinheadwaters,1986,13278.09274,10386.62902,16169.55645,0.108880988,0.02
YukonR.Teslinheadwaters,1987,2779.500931,1928.433187,3630.568674,0.153097222,0.02
YukonR.Teslinheadwaters,1988,1955.084981,10,4318.649616,0.550954263,0.02
YukonR.Teslinheadwaters,1989,1746.559378,10,3947.8337,0.563655858,0.02
YukonR.Teslinheadwaters,1990,2946.29978,10,6920.700181,0.586388071,0.02
YukonR.Teslinheadwaters,1991,4606.065389,3244.518566,5967.612211,0.147799337,0.02
YukonR.Teslinheadwaters,1992,12635.00204,9935.211604,15334.79248,0.106837752,0.02
YukonR.Teslinheadwaters,1993,6013.319469,4630.49919,7396.139748,0.114979778,0.02
YukonR.Teslinheadwaters,1994,3238.719547,2170.963393,4306.475702,0.16484233,0.02
YukonR.Teslinheadwaters,1995,7658.088126,5452.463466,9863.712785,0.144006221,0.02
YukonR.Teslinheadwaters,1996,9317.414499,7009.655716,11625.17328,0.123841157,0.02
YukonR.Teslinheadwaters,1997,8166.94727,6688.544416,9645.350125,0.090511351,0.02
YukonR.Teslinheadwaters,1998,13520.83844,11678.07867,15363.5982,0.068145174,0.02
YukonR.Teslinheadwaters,1999,4952.693123,3771.238289,6134.147956,0.119273979,0.02
YukonR.Teslinheadwaters,2000,5759.62063,4038.738207,7480.503052,0.149391994,0.02
YukonR.Teslinheadwaters,2001,7822.364496,1755.612766,13889.11622,0.387782475,0.02
YukonR.Teslinheadwaters,2002,1232.029843,624.8142262,1839.24546,0.24642894,0.02
YukonR.Teslinheadwaters,2003,2401.769491,1378.625166,3424.913816,0.212998027,0.02
YukonR.Teslinheadwaters,2004,3009.833309,1932.614081,4087.052537,0.178949981,0.02
YukonR.Teslinheadwaters,2005,8446.453546,6403.417733,10489.48936,0.120940452,0.02
YukonR.Teslinheadwaters,2006,1840.826405,605.39621,3076.256601,0.335564014,0.02
YukonR.Teslinheadwaters,2007,3368.387755,2149.803278,4586.972232,0.180885421,0.02
YukonR.Teslinheadwaters,2008,971.4617758,675.1223849,1267.801167,0.152522414,0.02
YukonR.Teslinheadwaters,2009,6841.025004,5498.255996,8183.794012,0.098140922,0.02
YukonR.Teslinheadwaters,2010,3926.551833,2565.828486,5287.275179,0.173272047,0.02
YukonR.Teslinheadwaters,2011,4484.960822,3699.604123,5270.31752,0.087554466,0.02
YukonR.Teslinheadwaters,2012,3545.911657,2329.583669,4762.239645,0.171511321,0.02
YukonR.Teslinheadwaters,2013,4132.942608,2877.248233,5388.636983,0.151912873,0.02
YukonR.Teslinheadwaters,2014,7041.992836,5584.442872,8499.5428,0.103489878,0.02
YukonR.Teslinheadwaters,2015,6165.475487,4987.459224,7343.491751,0.095533286,0.02
YukonR.Teslinheadwaters,2016,13154.35738,11230.86352,15077.85124,0.073112422,0.02
YukonR.Teslinheadwaters,2017,12472.41939,10704.26794,14240.57085,0.070882457,0.02
YukonR.Teslinheadwaters,2018,7984.537738,6348.535251,9620.540225,0.102448165,0.02
YukonR.Teslinheadwaters,2019,6883.936116,5531.778229,8236.094002,0.098211101,0.02
YukonR.Teslinheadwaters,2020,2994.538978,2368.03947,3621.038487,0.104607005,0.02
YukonR.Teslinheadwaters,2021,1886.941108,1344.357995,2429.524222,0.143773198,0.02
YukonR.Teslinheadwaters,2022,1731.984784,927.0432016,2536.926367,0.232375478,0.02
YukonR.Teslinheadwaters,2023,3240.767211,2256.923285,4224.611136,0.151791823,0.02
YukonR.Teslinheadwaters,2024,4112.272283,2591.469028,5633.075539,0.184910331,0.02
MiddleYukonR.andtribs.,1985,8344.674741,4944.75014,11821.4059,0.206019287,0.02
MiddleYukonR.andtribs.,1986,13108.56592,7829.005321,18715.61518,0.207623967,0.02
MiddleYukonR.andtribs.,1987,7475.769148,4466.6424,10572.70309,0.204195066,0.02
MiddleYukonR.andtribs.,1988,4504.685533,2516.557175,6696.159917,0.23195863,0.02
MiddleYukonR.andtribs.,1989,10663.77604,6390.648832,15314.17499,0.209201837,0.02
MiddleYukonR.andtribs.,1990,6058.752833,3412.241372,9108.00553,0.235022137,0.02
MiddleYukonR.andtribs.,1991,16124.04559,9797.029573,22427.45564,0.19583215,0.02
MiddleYukonR.andtribs.,1992,9451.677119,5565.327699,13412.81927,0.207568759,0.02
MiddleYukonR.andtribs.,1993,7470.533683,4445.304462,10642.65174,0.207393057,0.02
MiddleYukonR.andtribs.,1994,7573.932256,4570.34847,10697.37464,0.202240592,0.02
MiddleYukonR.andtribs.,1995,22247.72255,13305.8279,30660.6104,0.195017518,0.02
MiddleYukonR.andtribs.,1996,12754.50645,7805.938015,18087.195,0.201522047,0.02
MiddleYukonR.andtribs.,1997,25747.80628,15518.83107,36082.67206,0.199665952,0.02
MiddleYukonR.andtribs.,1998,3980.052311,1606.164082,6708.974155,0.320524058,0.02
MiddleYukonR.andtribs.,1999,6832.537962,4046.191151,9750.271964,0.208710176,0.02
MiddleYukonR.andtribs.,2000,14642.66943,8829.553231,20566.79803,0.200394553,0.02
MiddleYukonR.andtribs.,2001,24040.93166,12009.66774,37496.39791,0.26503476,0.02
MiddleYukonR.andtribs.,2002,15035.18025,9167.866824,21177.49673,0.19969215,0.02
MiddleYukonR.andtribs.,2003,10351.34686,6193.616276,14527.00718,0.201263445,0.02
MiddleYukonR.andtribs.,2004,10596.04126,6293.850701,14943.06568,0.204067131,0.02
MiddleYukonR.andtribs.,2005,13912.11853,8329.895928,19802.5249,0.206162508,0.02
MiddleYukonR.andtribs.,2006,17119.11028,10438.55922,23703.37435,0.193713559,0.02
MiddleYukonR.andtribs.,2007,3893.750477,2222.347881,5780.491323,0.228452199,0.02
MiddleYukonR.andtribs.,2008,9943.896828,5989.918353,13875.26813,0.198245967,0.02
MiddleYukonR.andtribs.,2009,11286.0647,6959.147215,15661.38337,0.192765069,0.02
MiddleYukonR.andtribs.,2010,6561.727879,3973.836472,9321.484048,0.203743879,0.02
MiddleYukonR.andtribs.,2011,10683.00199,6489.476473,14772.60287,0.193838923,0.02
MiddleYukonR.andtribs.,2012,3991.32429,2370.364885,5911.965645,0.221831183,0.02
MiddleYukonR.andtribs.,2013,4857.895293,2968.199158,6776.321779,0.195975952,0.02
MiddleYukonR.andtribs.,2014,18942.89917,11572.12704,26268.83317,0.193960623,0.02
MiddleYukonR.andtribs.,2015,23476.38382,14478.91111,32480.94377,0.191703637,0.02
MiddleYukonR.andtribs.,2016,13174.17045,8129.935682,18275.90339,0.192535229,0.02
MiddleYukonR.andtribs.,2017,17904.54644,11040.45858,25004.52463,0.194979332,0.02
MiddleYukonR.andtribs.,2018,14672.37131,9090.118219,20409.47803,0.192868616,0.02
MiddleYukonR.andtribs.,2019,11086.18961,6776.77019,15277.30008,0.191691875,0.02
MiddleYukonR.andtribs.,2020,6321.400355,3891.811136,8813.07063,0.19462695,0.02
MiddleYukonR.andtribs.,2021,7082.112054,4323.718827,9901.078904,0.196881948,0.02
MiddleYukonR.andtribs.,2022,4492.76414,2727.022581,6284.610934,0.197962114,0.02
MiddleYukonR.andtribs.,2023,2551.824821,1567.413432,3582.526292,0.197418808,0.02
MiddleYukonR.andtribs.,2024,4612.835143,2866.966332,6472.804451,0.195424181,0.02
UpperYukonR.,1985,1942.80097,1047.795438,2837.806502,0.230338966,0.02
UpperYukonR.,1986,3265.071037,1719.83932,4810.302753,0.236630643,0.02
UpperYukonR.,1987,1180.110962,689.9942567,1670.227668,0.207657043,0.02
UpperYukonR.,1988,8040.636786,6584.023557,9497.250014,0.090578226,0.02
UpperYukonR.,1989,2265.56187,1333.095694,3198.028045,0.205791373,0.02
UpperYukonR.,1990,2132.015435,1267.296605,2996.734265,0.202793755,0.02
UpperYukonR.,1991,2402.664934,1155.984078,3649.345791,0.259437102,0.02
UpperYukonR.,1992,8270.549191,6863.057259,9678.041122,0.085090597,0.02
UpperYukonR.,1993,2041.473266,1130.861649,2952.084884,0.223028053,0.02
UpperYukonR.,1994,1149.523566,308.6400569,1990.407075,0.365753054,0.02
UpperYukonR.,1995,3255.77228,1426.708936,5084.835624,0.280895466,0.02
UpperYukonR.,1996,4782.47828,3214.147002,6350.809559,0.163966378,0.02
UpperYukonR.,1997,5259.580502,3247.797574,7271.36343,0.191249371,0.02
UpperYukonR.,1998,1363.381094,10,3228.329488,0.590137545,0.02
UpperYukonR.,1999,1461.107206,699.0386608,2223.175752,0.26078461,0.02
UpperYukonR.,2000,2104.413376,1016.123862,3192.702891,0.258573132,0.02
UpperYukonR.,2001,2516.865647,10,6353.867342,0.630135676,0.02
UpperYukonR.,2002,1526.365656,750.138373,2302.59294,0.254273044,0.02
UpperYukonR.,2003,3234.345159,2433.494341,4035.195977,0.123804167,0.02
UpperYukonR.,2004,5106.520306,3933.280305,6279.760307,0.114876661,0.02
UpperYukonR.,2005,628.4248714,10,1693.436366,0.669704702,0.02
UpperYukonR.,2006,1500.606608,150.4507758,2850.762439,0.449870014,0.02
UpperYukonR.,2007,955.9032514,10,2452.533097,0.638802382,0.02
UpperYukonR.,2008,1965.323282,856.426623,3074.219941,0.282115586,0.02
UpperYukonR.,2009,1583.985646,811.4104156,2356.560877,0.243870654,0.02
UpperYukonR.,2010,1302.504187,365.7762379,2239.232136,0.359587308,0.02
UpperYukonR.,2011,8243.775577,7817.415544,8670.13561,0.025859512,0.02
UpperYukonR.,2012,7185.461036,5452.102048,8918.820023,0.120615711,0.02
UpperYukonR.,2013,2550.162168,1362.08634,3738.237996,0.232941231,0.02
UpperYukonR.,2014,6770.976294,6147.559513,7394.393076,0.04603596,0.02
UpperYukonR.,2015,2751.228512,1898.908585,3603.548439,0.154898062,0.02
UpperYukonR.,2016,2117.941321,1479.728607,2756.154035,0.150668177,0.02
UpperYukonR.,2017,5784.361987,5082.397014,6486.326961,0.060677822,0.02
UpperYukonR.,2018,3362.558804,2554.905533,4170.212075,0.12009504,0.02
UpperYukonR.,2019,3474.692616,2194.939228,4754.446004,0.184153468,0.02
UpperYukonR.,2020,2091.15121,1474.277484,2708.024937,0.147496203,0.02
UpperYukonR.,2021,3736.963664,3383.919363,4090.007965,0.047236785,0.02
UpperYukonR.,2022,641.2981817,263.0009263,1019.595437,0.294946459,0.02
UpperYukonR.,2023,379.0512904,142.3376798,615.764901,0.312244829,0.02
UpperYukonR.,2024,3193.586644,1719.479239,4667.694049,0.230791829,0.02
Big.Salmon,1985,4047.246704,828.3979007,7458.30579,0.49905084,0.02
Big.Salmon,1986,6357.87732,1292.829312,11717.57738,0.501133128,0.02
Big.Salmon,1987,3618.922497,740.5392695,6492.291346,0.492171633,0.02
Big.Salmon,1988,2197.294901,420.2521712,4191.556729,0.524997827,0.02
Big.Salmon,1989,5168.096158,1075.082245,9504.731004,0.49871058,0.02
Big.Salmon,1990,2936.244826,592.1008548,5727.688512,0.518963223,0.02
Big.Salmon,1991,7848.819464,1624.969213,14255.11553,0.495063341,0.02
Big.Salmon,1992,4606.369508,853.3468961,8485.268892,0.504024816,0.02
Big.Salmon,1993,3612.786859,792.7986942,6647.092272,0.49380669,0.02
Big.Salmon,1994,3675.166433,728.8315427,6800.979751,0.496764992,0.02
Big.Salmon,1995,10815.46548,2146.437872,19496.7861,0.494041716,0.02
Big.Salmon,1996,6205.314045,1222.377864,11452.73225,0.49655392,0.02
Big.Salmon,1997,12467.79282,2612.895114,22364.19295,0.490115043,0.02
Big.Salmon,1998,1944.438872,310.0880489,4072.206241,0.605950006,0.02
Big.Salmon,1999,3324.865226,686.7430655,6119.336966,0.499084212,0.02
Big.Salmon,2000,7091.602751,1409.929301,12736.29411,0.492347194,0.02
Big.Salmon,2001,11607.26114,2127.476669,22839.06065,0.545998849,0.02
Big.Salmon,2002,7286.1265,1475.27472,13351.21271,0.491848949,0.02
Big.Salmon,2003,5011.442552,1050.293144,9101.017856,0.492422,0.02
Big.Salmon,2004,5140.933493,994.444747,9291.463878,0.496267161,0.02
Big.Salmon,2005,5618,6179.8,5056.2,0.05,0.02
Big.Salmon,2006,7308,8038.8,6577.2,0.05,0.02
