"BroodYear","S_lwr","S_med","S_upr","R_lwr","R_med","R_upr","CU","CU_f"
2010,3574.5,3811.45,4062.15,5636.91,6452.46,7299.41,"Big.Salmon","Big.Salmon"
2011,4826.91,5141.46,5487.25,9382.26,10298.81,11257.19,"Big.Salmon","Big.Salmon"
2012,2443.78,2608.7,2783.11,7109.35,7900.86,8734.21,"Big.Salmon","Big.Salmon"
2013,3054.48,3254.65,3466.69,6219.09,6973.31,7753.26,"Big.Salmon","Big.Salmon"
2014,5886.13,6267.65,6674.1,5256.57,5874.53,6550.83,"Big.Salmon","Big.Salmon"
2015,9346.19,9948.71,10585.08,2561.25,2902.72,3296.94,"Big.Salmon","Big.Salmon"
2016,6346.25,6762.1,7196.72,2068.82,2288.41,2525.66,"Big.Salmon","Big.Salmon"
2017,5321.27,5658.92,6027.22,1570.64,1754.09,1953.28,"Big.Salmon","Big.Salmon"
2018,4828.62,5143.71,5481.58,1877.86,2113.68,2422.18,"Big.Salmon","Big.Salmon"
2019,3607.44,3850.26,4101.48,1728.9,2383.45,3443.76,"Big.Salmon","Big.Salmon"
2020,1544.41,1647.38,1758.26,1096.11,1886.66,3453.49,"Big.Salmon","Big.Salmon"
2021,1852.19,1971.24,2100.75,NA,NA,NA,"Big.Salmon","Big.Salmon"
2022,1860.64,1976.8,2104.36,NA,NA,NA,"Big.Salmon","Big.Salmon"
2023,1686.26,1795.58,1912.42,NA,NA,NA,"Big.Salmon","Big.Salmon"
2024,1783.82,1900.67,2025.33,NA,NA,NA,"Big.Salmon","Big.Salmon"
1985,7373.62,9136.02,11330.43,27476.74,32841.06,39137.33,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1986,8721.24,10782.86,13363.27,39902.9,46156.18,52936.32,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1987,7890.47,9817.32,12255.27,22613.1,26949.25,31778.93,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1988,5713.82,7923.21,11182.64,25323.75,30344.03,35999.18,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1989,13488.45,17351.03,22201.48,59289.46,67911.34,77759.02,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1990,8346.74,12357.19,18608.24,24148.96,30066.75,37026.32,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1991,13200.08,15949.05,19399.02,60543.23,69236.38,78707.76,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1992,6866.68,8816.91,11361.98,14557.83,18437.95,23126.02,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1993,8049.57,10096.7,12550.73,25363.31,29251.97,33657.31,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1994,9684.62,11870.84,14678.81,15247.28,18173.83,21467.57,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1995,16404.85,20371.85,25197.77,20255.59,24104.62,28684.6,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1996,13933.79,17259.74,21473.95,25459.21,30227.04,35519.49,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1997,19917.01,24141.98,29151.3,33455.64,39053.8,45045.84,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1998,4736.98,6647.24,9179.7,27641.88,32331.08,37577.81,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1999,7826.86,9636.16,12018.31,20878.71,24507.07,28555.81,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2000,6379.16,7893.93,9760.46,21013.92,24681.11,28766.04,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2001,12090.84,15750.57,20266.53,26155.84,29544.35,33251.03,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2002,15179.88,18686.11,22991.34,12561.78,14621.39,16826.7,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2003,17735.77,21374.99,25903.58,20627.54,23208.92,26060.39,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2004,9245.52,11359.2,13929.99,9685.04,11239.12,13010.19,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2005,12281.08,14775.07,17896.01,13706.64,15495.35,17485.25,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2006,13918.58,16638.4,19953.18,9224.37,10549.98,12018.51,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2007,6047.83,7242.24,8700.81,6752.24,7743.98,8866.47,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2008,8049.54,9628.95,11512.03,8808.34,10407.43,12382.51,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2009,10444.4,12506.8,14948.83,19542.44,22619,26117.23,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2010,4544.2,5592.29,6840.19,12057.31,14361.79,16991.15,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2011,8702.93,10336.35,12235.11,23463.21,26611.3,30105.01,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2012,3777.38,4604.05,5603.02,20729.87,23725.63,27096.54,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2013,4250.73,5066.07,6025.4,18622.54,21208.36,24084.92,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2014,14728.11,17402.13,20644.14,17748.41,20023.64,22616.63,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2015,19230.97,22921.23,27156.89,9590.13,11047.12,12683.48,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2016,12028.39,14347.94,17084.07,5970.53,6899.59,7906.46,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2017,14833.8,17708.91,21320.56,3024.29,3541.64,4141.33,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2018,13071.92,15637.84,18660.85,3587.75,4259.74,5117.5,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2019,9633.7,11452.82,13574.75,3963.74,5550.05,8176.97,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2020,5949.71,7089.1,8439.58,3191.12,5849.14,11319.34,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2021,6419.6,7619.09,9003.5,NA,NA,NA,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2022,3768.08,4504.54,5350.32,NA,NA,NA,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2023,2386.63,2868.73,3419.56,NA,NA,NA,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2024,3954.87,4718.64,5628.3,NA,NA,NA,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1985,2485.75,3097.66,3874.25,1000.94,1223.33,1486.51,"Nordenskiold","Nordenskiold"
1986,914.48,1162.68,1484.55,2108.21,2488.97,2921.96,"Nordenskiold","Nordenskiold"
1987,441.88,597.53,807.61,2235.38,2749.03,3355.6,"Nordenskiold","Nordenskiold"
1988,717.33,1051.21,1503.06,4733.39,5776.08,6987.99,"Nordenskiold","Nordenskiold"
1989,493.44,702.09,988.1,13036.07,14887.54,16945.78,"Nordenskiold","Nordenskiold"
1990,407.28,577.93,836.21,3988.41,5149.55,6484.1,"Nordenskiold","Nordenskiold"
1991,417.15,602.07,864.05,6848.02,8026.44,9364.4,"Nordenskiold","Nordenskiold"
1992,353.18,536.94,820.79,2935.61,3663.35,4497.6,"Nordenskiold","Nordenskiold"
1993,822.19,1107.05,1496.73,6231.67,7182.46,8216.98,"Nordenskiold","Nordenskiold"
1994,2187.19,2751.52,3451.58,2720.94,3296.32,3952.9,"Nordenskiold","Nordenskiold"
1995,3512.55,4219.97,5073.31,1802.22,2214.51,2676.93,"Nordenskiold","Nordenskiold"
1996,3030.74,3700.47,4499.45,1636.59,1972.86,2355.89,"Nordenskiold","Nordenskiold"
1997,933.85,1192.56,1512.41,2299.84,2734.76,3240.83,"Nordenskiold","Nordenskiold"
1998,1945.98,2347.59,2839.85,4091.21,4764.98,5479.21,"Nordenskiold","Nordenskiold"
1999,1502.42,1938.28,2500.57,2159.58,2772.35,3574.82,"Nordenskiold","Nordenskiold"
2000,1228.96,1545.84,1936.45,3655.48,4290.32,5006.29,"Nordenskiold","Nordenskiold"
2001,621.99,795.46,1021.27,6312.24,7008.38,7759.57,"Nordenskiold","Nordenskiold"
2002,972.9,1237.2,1578.86,2013.01,2397.16,2833.03,"Nordenskiold","Nordenskiold"
2003,1165.33,1484.81,1897.05,2546.56,2841.53,3161.5,"Nordenskiold","Nordenskiold"
2004,1910.88,2322.84,2805.61,2191.29,2519.52,2883.81,"Nordenskiold","Nordenskiold"
2005,836.37,1469.36,2482.99,2612.19,2961.81,3345.99,"Nordenskiold","Nordenskiold"
2006,3629,3833.89,4051.36,870.34,1073.21,1323.1,"Nordenskiold","Nordenskiold"
2007,1913.59,1980.88,2048.85,366.42,515.55,725.23,"Nordenskiold","Nordenskiold"
2008,565.58,745.52,988.35,2640.6,3145.93,3664.62,"Nordenskiold","Nordenskiold"
2009,1709.16,1799.23,1896.74,3914.87,4464.42,5058.56,"Nordenskiold","Nordenskiold"
2010,2210.24,2295.6,2385.85,2171.26,2605.65,3098.27,"Nordenskiold","Nordenskiold"
2011,512.56,698.88,938.54,5655.1,6187.37,6712.93,"Nordenskiold","Nordenskiold"
2012,255.14,432.61,724.31,3097.46,3538.28,4013.38,"Nordenskiold","Nordenskiold"
2013,25.71,34.49,44.61,2623.23,3110.44,3646.19,"Nordenskiold","Nordenskiold"
2014,6823.1,7186.5,7567.29,2827.57,3319.54,3858.41,"Nordenskiold","Nordenskiold"
2015,1121.2,1457.78,1898.73,1343.61,1596.21,1903.71,"Nordenskiold","Nordenskiold"
2016,4690.63,4853.05,5023.83,991.99,1111.38,1238.53,"Nordenskiold","Nordenskiold"
2017,3219.12,3448.49,3690.77,883.2,1001.82,1134.48,"Nordenskiold","Nordenskiold"
2018,519.82,724.93,1012.94,1720.71,1974.86,2469.36,"Nordenskiold","Nordenskiold"
2019,2525.38,2927.23,3379.01,1604.47,2547.24,4614.4,"Nordenskiold","Nordenskiold"
2020,291.12,462.18,738.73,1025.65,2442.26,6300.71,"Nordenskiold","Nordenskiold"
2021,1263.78,1329.32,1399.63,NA,NA,NA,"Nordenskiold","Nordenskiold"
2022,622.07,662.52,703.65,NA,NA,NA,"Nordenskiold","Nordenskiold"
2023,1418.69,1518.59,1623.35,NA,NA,NA,"Nordenskiold","Nordenskiold"
2024,1958.5,2082.45,2213.58,NA,NA,NA,"Nordenskiold","Nordenskiold"
1985,1370.46,1901.63,2666.86,20933.14,25108.43,29912.08,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1986,2722.21,3499.08,4532.33,31664.45,36378.92,41786.8,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1987,2633.64,3262.98,4060.24,25820.46,30686.45,35904.07,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1988,10045.14,12265.83,14958.53,32014.24,37853.91,44180.27,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1989,4549.48,6505.38,9220.77,38988.21,44824.62,51373.15,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1990,16381.49,20677.12,25617.83,9263.47,11896.82,14894.98,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1991,7929.77,9312.37,10934.35,22324.68,25486.11,29024.41,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1992,5261.09,6671.17,8514.71,9981.15,12095.45,14509.65,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1993,10868.27,12881.25,15245.05,13454.56,15541.23,17803.72,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1994,14091.44,16378.28,19047.14,5796.37,7029.83,8412.48,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1995,7851.79,9449.9,11262.6,8488.52,9986.17,11682.18,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1996,4950.45,6345.43,8110.96,10994.91,13009.98,15327.15,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1997,7070.22,8497.14,10239.55,21555.75,25027.09,28763.61,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1998,4510.37,5829.75,7456.56,24995.49,28634.07,32758.49,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1999,3280.76,4125.67,5163.87,15520.08,18156.41,21120.23,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2000,2182.19,2747.83,3459.68,12903.85,15100.34,17626.11,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2001,5648.32,7045.46,8771.49,16442.29,18633.99,20974.55,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2002,5959.53,7345.43,9033.75,8009.84,9216.69,10577.88,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2003,14158.76,16200.45,18503.5,11177.55,12399.93,13716.24,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2004,9738.06,11425.83,13306.26,5771.91,6640.77,7592.99,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2005,8501.59,9791.78,11260.73,6968.84,7826.96,8811.44,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2006,7769.95,9573.35,11673.61,5596.99,6367.55,7211.5,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2007,4358.01,5249.57,6349.78,3567.77,4295.14,5191.51,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2008,4740.17,5170.75,5644.82,2829.39,3393.97,4091.9,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2009,5920.34,6662.62,7476.49,4847.06,5525.32,6298.06,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2010,2914.64,3720.66,4818.54,3882.64,4514.2,5233.71,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2011,3620.11,4055.84,4542.45,8502.07,9517.35,10621.47,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2012,3318.67,3992.23,4796.28,6828.12,7753.92,8741.99,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2013,1657.32,2443.75,3558.22,4554.19,5208.45,5962.83,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2014,4031.17,4754.28,5591.34,3960.02,4535.37,5158.06,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2015,4567.2,5228.68,5961.71,2677.95,3087.11,3548.69,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2016,5791.27,6598.6,7508.37,1755,2090.22,2471.21,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2017,4781.56,5596.46,6575.47,1103.99,1372.08,1699.97,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2018,3903.33,4597.91,5381.62,1939.07,2361.27,2906.88,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2019,1828.88,2320.8,2943,1784.63,2540.83,3746.08,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2020,1406.25,1744.31,2168.01,1373.08,2463.1,4741.97,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2021,2306.72,2739.44,3256.93,NA,NA,NA,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2022,653.61,937.36,1328.62,NA,NA,NA,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2023,1532.4,1952.38,2488.69,NA,NA,NA,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2024,1891.03,2348.73,2914.03,NA,NA,NA,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1985,6715.05,7975.62,9548.18,31219.19,37935.73,45458.27,"Pelly","Pelly"
1986,9115.15,10804.72,12816.24,43941.14,50550.35,58316.28,"Pelly","Pelly"
1987,10428.15,12079.72,13979.79,23211.84,27480.71,32466.78,"Pelly","Pelly"
1988,6056.79,9729.19,15592.82,22633.17,26710.34,31380.3,"Pelly","Pelly"
1989,10785.92,15668.79,22282.11,32656.91,37356.41,42670.59,"Pelly","Pelly"
1990,22861.78,31385.31,41345.33,11647.98,14715.71,18134.72,"Pelly","Pelly"
1991,10207.86,12030.81,14119.33,28051.12,32010.12,36377.1,"Pelly","Pelly"
1992,8913.56,10944.43,13480.99,10135.74,12637.02,15550.15,"Pelly","Pelly"
1993,7860.28,9427.46,11268.65,17767.19,20474.67,23470.98,"Pelly","Pelly"
1994,8990.64,10781.9,12855.37,10793.2,12749.87,15026.04,"Pelly","Pelly"
1995,7102.18,8593.43,10347.13,12625.1,14940.66,17621.43,"Pelly","Pelly"
1996,7934.29,9710.53,11852.94,12508.74,14904.5,17718.3,"Pelly","Pelly"
1997,8353.36,10031.83,12090.79,25272.46,29325.32,33752.89,"Pelly","Pelly"
1998,4383.3,6530.21,9686.09,25606.19,29667.51,34208.74,"Pelly","Pelly"
1999,5371.91,6467.86,7895.86,17285.25,20101.07,23232.43,"Pelly","Pelly"
2000,4411.61,5287.31,6360.69,15833.58,18508.89,21474.64,"Pelly","Pelly"
2001,8236.44,10569.34,13510.74,23417.93,26312.84,29540.32,"Pelly","Pelly"
2002,5481.97,6615.15,8037.85,9918.34,11495.22,13339.07,"Pelly","Pelly"
2003,18000.09,20587.11,23441.61,17731.83,19597.46,21576.32,"Pelly","Pelly"
2004,9179.54,10689.37,12500.54,11837.91,13485.55,15249.07,"Pelly","Pelly"
2005,10053.12,11475.27,13060.97,14471.44,16068.25,17778.77,"Pelly","Pelly"
2006,10104.89,12038.56,14413.25,10839.95,12160.37,13583.43,"Pelly","Pelly"
2007,7672.57,8738.99,9934.04,12187.13,13602.34,15084.98,"Pelly","Pelly"
2008,3981.8,4323.98,4704.31,7344.98,8405.14,9606.42,"Pelly","Pelly"
2009,14572.55,15627.09,16705.21,12196.59,13595.57,15027.13,"Pelly","Pelly"
2010,6637.58,7460.02,8377.91,9479.29,10854.68,12336.8,"Pelly","Pelly"
2011,7982.77,8622.77,9308.85,16347.75,17954.06,19707.11,"Pelly","Pelly"
2012,5725.29,6608.02,7662.34,10802.98,12077.9,13480.76,"Pelly","Pelly"
2013,9821.41,10797.41,11888.11,8628.04,9688.68,10849.54,"Pelly","Pelly"
2014,6405.48,6956.33,7547.09,9960.37,11092.76,12298.29,"Pelly","Pelly"
2015,15016.15,15949.36,16988.1,7460.61,8337.92,9237.14,"Pelly","Pelly"
2016,12137.98,13298.29,14517.41,3569.99,4080.25,4651.63,"Pelly","Pelly"
2017,7710.32,8542.46,9479.29,1301.81,1570.91,1911.65,"Pelly","Pelly"
2018,6512.67,7386.13,8390.96,1697.13,2043.17,2482.54,"Pelly","Pelly"
2019,4544.8,4684.55,4825.91,1460.55,2027.46,2975.49,"Pelly","Pelly"
2020,5834.15,6326.34,6865.07,1609.27,2883.75,5452.97,"Pelly","Pelly"
2021,5516.47,5771.11,6038.8,NA,NA,NA,"Pelly","Pelly"
2022,989.39,1282.55,1658.05,NA,NA,NA,"Pelly","Pelly"
2023,1500.81,1906.93,2429.29,NA,NA,NA,"Pelly","Pelly"
2024,1473.02,1750.22,2074.97,NA,NA,NA,"Pelly","Pelly"
1985,5251.5,6329.42,7607.13,9347.43,11419.18,13842.64,"Stewart","Stewart"
1986,4636.26,5635.65,6813.72,13385.14,15568.83,18072.88,"Stewart","Stewart"
1987,2819.5,3525.93,4355.6,6733.09,8194.1,9864.23,"Stewart","Stewart"
1988,2185.92,3836.06,6330.73,10204.36,12260.07,14556.2,"Stewart","Stewart"
1989,2627.2,4151.34,6501.22,22729.81,25977.78,29525.86,"Stewart","Stewart"
1990,3667.72,7582.67,11682.78,6658.1,8559.61,10742.2,"Stewart","Stewart"
1991,3967.75,4832.92,5917.92,16003.16,18262.49,20742.6,"Stewart","Stewart"
1992,2376.55,3216.64,4346.6,5413.22,6768.65,8413.39,"Stewart","Stewart"
1993,2032.9,2608.22,3356.18,8221.79,9546.16,11061.82,"Stewart","Stewart"
1994,4783.92,5948,7300.39,3870.21,4690.52,5575.75,"Stewart","Stewart"
1995,6006.39,7198.7,8634.5,5336.98,6428.17,7782.97,"Stewart","Stewart"
1996,3800.57,4798.11,6018.23,6256.02,7494.65,8864.18,"Stewart","Stewart"
1997,4737.27,5832.83,7194.56,6320.41,7467.55,8728.31,"Stewart","Stewart"
1998,2064.19,3172.71,4797.77,6871.97,7990.54,9256.71,"Stewart","Stewart"
1999,2113.27,2686.41,3443.96,4240.73,5105.23,6123.15,"Stewart","Stewart"
2000,1427.96,1820.32,2333.21,6005.34,7121.39,8388.02,"Stewart","Stewart"
2001,3147.36,4328.93,5885.75,9961.54,11317.38,12900.51,"Stewart","Stewart"
2002,3621.21,4467.69,5499.59,4016.29,4723.47,5512.55,"Stewart","Stewart"
2003,2915.44,3713.07,4689.33,6856.41,7628.68,8450.82,"Stewart","Stewart"
2004,2684.56,3344.42,4169.18,3812.39,4423.15,5137.98,"Stewart","Stewart"
2005,2212.03,2806.24,3539.22,4127.53,4713.77,5388.18,"Stewart","Stewart"
2006,4435.41,5745.03,7349.33,2329.22,2716.38,3158.55,"Stewart","Stewart"
2007,2554.77,3205.36,4011.73,2817.26,3329.07,3910.97,"Stewart","Stewart"
2008,1881.86,2158.23,2473.1,2288.12,2666.11,3105.84,"Stewart","Stewart"
2009,4683.31,5302.25,5976.84,4172.77,4722.23,5336.31,"Stewart","Stewart"
2010,1715.01,2316.97,3138.51,3557.03,4172.23,4840.9,"Stewart","Stewart"
2011,1928.24,2232.33,2593.25,6903.13,7711.18,8607.94,"Stewart","Stewart"
2012,918.41,1287.17,1789.09,4492.45,5109.67,5800.3,"Stewart","Stewart"
2013,2295.49,2875.39,3572.92,4760.88,5427.15,6172.1,"Stewart","Stewart"
2014,2426.37,2770.6,3152.25,5221.12,5906.85,6686.52,"Stewart","Stewart"
2015,4793.68,5366.11,6045.87,3255.72,3733.44,4273.99,"Stewart","Stewart"
2016,5222.13,5973.29,6842.81,1462.17,1741.88,2073.1,"Stewart","Stewart"
2017,2971.24,3482.88,4074.91,482.51,634.28,834.23,"Stewart","Stewart"
2018,2688.94,3157.33,3691.85,1240.87,1595.5,2067.25,"Stewart","Stewart"
2019,3015.69,3555.75,4197.43,1743.15,2633.77,4124.81,"Stewart","Stewart"
2020,1881.58,2207.74,2593.41,1571.83,3010.12,6221.59,"Stewart","Stewart"
2021,2471.55,2881.69,3368.47,NA,NA,NA,"Stewart","Stewart"
2022,208.38,306.98,443.62,NA,NA,NA,"Stewart","Stewart"
2023,639.31,920.68,1322.07,NA,NA,NA,"Stewart","Stewart"
2024,1737.81,2264.25,2982.47,NA,NA,NA,"Stewart","Stewart"
1985,1551.94,2137.55,2960.91,6884.51,8402.83,10183.55,"UpperYukonR.","UpperYukonR."
1986,2110.05,2861.86,3858.01,13877.19,16096.09,18552.79,"UpperYukonR.","UpperYukonR."
1987,1337.52,1744.03,2262.34,5867.12,7201.71,8744.47,"UpperYukonR.","UpperYukonR."
1988,12247.91,14438.19,16977.93,4526.88,5557.7,6755.04,"UpperYukonR.","UpperYukonR."
1989,4762.32,6151.42,7851.83,9024.43,10538.61,12317.33,"UpperYukonR.","UpperYukonR."
1990,4110.86,5366.9,7107.69,4561.95,5847.81,7359.32,"UpperYukonR.","UpperYukonR."
1991,2352.95,3193.51,4294.15,21044.47,24231.38,27771.75,"UpperYukonR.","UpperYukonR."
1992,3119.07,4017.83,5127.94,14769.11,18160.12,21910.93,"UpperYukonR.","UpperYukonR."
1993,1838.13,2486.27,3380.4,14733.99,17669.74,21068.26,"UpperYukonR.","UpperYukonR."
1994,1211.51,1799.08,2702.97,2717.67,3460.04,4428.74,"UpperYukonR.","UpperYukonR."
1995,1867.26,2695.07,3961.35,2624.08,3241.95,4064.27,"UpperYukonR.","UpperYukonR."
1996,3352.49,4454.98,5891.6,2815.23,3453.67,4230.33,"UpperYukonR.","UpperYukonR."
1997,6844.1,8202.47,9828.13,5635.42,6686.63,7903.16,"UpperYukonR.","UpperYukonR."
1998,9108.95,10805.96,12795.98,8999.45,10470.69,12112.22,"UpperYukonR.","UpperYukonR."
1999,1864.03,2572.79,3597.12,3083.37,4102.48,5367.02,"UpperYukonR.","UpperYukonR."
2000,808.67,1177.81,1737.13,2679.38,3398.26,4356.82,"UpperYukonR.","UpperYukonR."
2001,1471.72,2176.7,3191.71,3307.35,4139.86,5328,"UpperYukonR.","UpperYukonR."
2002,1298.62,1757.84,2401.6,1688.99,2152.73,2770.65,"UpperYukonR.","UpperYukonR."
2003,3510.98,4314.06,5281.07,8324.94,9318.76,10359.3,"UpperYukonR.","UpperYukonR."
2004,3928.82,4797.37,5872.04,4653.18,5495.33,6459.45,"UpperYukonR.","UpperYukonR."
2005,1090.42,1857.24,3136.97,8176.43,9196.68,10324.77,"UpperYukonR.","UpperYukonR."
2006,1502.32,2347.37,3642.58,10323.88,11521.05,12797.19,"UpperYukonR.","UpperYukonR."
2007,890.43,1638.95,2898.99,6955.63,8012.76,9151.13,"UpperYukonR.","UpperYukonR."
2008,1152.03,1718.48,2579.78,2356.09,2888.02,3525.96,"UpperYukonR.","UpperYukonR."
2009,8188.61,8753.58,9341.14,3109.6,3547.01,4033.79,"UpperYukonR.","UpperYukonR."
