"HCR","escapement","harvest","ER","pr.no.harv","pr.basic.needs","harv.stability","n.below.LSR","n.between.ref","n.above.USR","n.extinct","prob"
"fixed.ER.35",15315.3583563224,7106.83336361246,0.347581234250977,0.0952380952380952,0.171428571428571,0.972058559772977,4.8,3.5,0.5,0.2,"mean"
"fixed.ER.40",9911.28579362828,5275.04217672034,0.392666771748987,0.0952380952380952,0.0476190476190476,0.874538847425279,4,1.25,0,0,"q_25"
"fixed.ER.40",11048.8697163212,6205.60066883442,0.397033562982911,0.0952380952380952,0.0714285714285714,1.01002847032475,5.5,3,0,0.5,"median"
"fixed.ER.40",15537.6401224039,8609.22080428935,0.406239770208958,0.0952380952380952,0.44047619047619,1.17250230103145,6.75,3,0,2,"q_75"
"fixed.ER.40",12313.9789578443,6783.45460728475,0.397884371036464,0.0952380952380952,0.209523809523809,1.03066138569185,5.3,2.8,0,0.9,"mean"
"fixed.ER.45",10662.8100519026,7619.01841504983,0.446780401130153,0.0952380952380952,0.202380952380952,0.965858990795945,4,2,0,0.25,"q_25"
"fixed.ER.45",11886.4462358823,8389.32285379101,0.452173026556787,0.0952380952380952,0.285714285714286,1.02761402700683,4.5,2,0,1,"median"
"fixed.ER.45",13796.7195820421,9945.87914372883,0.46336097231546,0.0952380952380952,0.511904761904761,1.1476535126804,6,4,0,1,"q_75"
"fixed.ER.45",12277.9598608413,8557.58744643026,0.454727436018379,0.0952380952380952,0.352380952380952,1.04534597211805,5,2.9,0.2,0.9,"mean"
"fixed.ER.5",20229.1595954574,995.846999894656,0.0500453108799969,0.0952380952380952,0,0.808059575238709,2.25,4,0,0,"q_25"
"fixed.ER.5",23386.1425602963,1138.10677565047,0.0505465301781955,0.0952380952380952,0,0.943309592687591,3,4.5,0,0,"median"
"fixed.ER.5",25237.0767672415,1249.03301417077,0.0517531404129032,0.0952380952380952,0,1.10664385386936,3.75,6.75,1,0.75,"q_75"
"fixed.ER.5",22955.1693391513,1124.86025733782,0.0508558127391591,0.0952380952380952,0,0.980475517626799,3,5.1,0.6,0.3,"mean"
"fixed.ER.50",7657.01415414313,5605.6567336168,0.494333075945941,0.0952380952380952,0.0952380952380952,1.03079904270559,5.25,0.25,0,1,"q_25"
"fixed.ER.50",8728.00792811259,7207.30494921035,0.510789432971418,0.0952380952380952,0.261904761904762,1.29448935078064,6,1.5,0,1,"median"
"fixed.ER.50",11553.4450319303,9838.80405636419,0.517620510976855,0.0952380952380952,0.404761904761905,1.41437596264092,7,2,0,1.75,"q_75"
"fixed.ER.50",9191.31664203062,7492.6353143686,0.506928497811625,0.0952380952380952,0.29047619047619,1.24375164415205,6.1,1.4,0.2,1.3,"mean"
"fixed.ER.55",7373.59873535835,6783.27557932186,0.544992644698663,0.0952380952380952,0.154761904761905,1.05564128954691,3.25,0.25,0,2,"q_25"
"fixed.ER.55",7649.74276007009,7290.33093611152,0.550675833739187,0.0952380952380952,0.238095238095238,1.17433183209496,5,1,0,2.5,"median"
"fixed.ER.55",9213.08464940826,8549.89443024049,0.55516165487326,0.0952380952380952,0.44047619047619,1.28590351591999,6,2,0.75,3,"q_75"
"fixed.ER.55",8536.04651091648,8103.10571024318,0.549183612958064,0.0952380952380952,0.328571428571429,1.20448207012238,4.9,1.2,0.4,2.5,"mean"
"fixed.ER.60",7215.10458361519,7779.8887767537,0.591678097044155,0.0952380952380952,0.333333333333333,0.951196376661954,5.25,1,0,1,"q_25"
"fixed.ER.60",9221.0137274069,10997.2299910314,0.60295701207341,0.0952380952380952,0.595238095238095,0.997636554487094,6,2,0,1.5,"median"
"fixed.ER.60",9819.08104281212,11822.519602352,0.612628727584988,0.0952380952380952,0.714285714285714,1.13665767051619,7,2,0,2,"q_75"
"fixed.ER.60",8666.92505615946,10146.2151697389,0.602127263247382,0.0952380952380952,0.547619047619048,1.03628946157995,5.9,1.7,0,1.4,"mean"
"fixed.ER.65",5667.83994618684,6937.38815275456,0.637377621845279,0.0952380952380952,0.25,1.03974506885627,3,0,0,3,"q_25"
"fixed.ER.65",6086.8980125565,7660.47509935801,0.650089472930936,0.0952380952380952,0.309523809523809,1.15355198107322,4.5,0.5,0,4.5,"median"
"fixed.ER.65",6821.86875686797,9247.40223870812,0.66197328085823,0.0952380952380952,0.369047619047619,1.19921298653606,5,1,0,5.75,"q_75"
"fixed.ER.65",6572.73009191308,8694.06284801325,0.650362183341595,0.0952380952380952,0.361904761904762,1.12878716924561,4.1,0.6,0,4.3,"mean"
"fixed.ER.70",5304.09927454381,7435.9050106719,0.68892346138069,0.0952380952380952,0.285714285714286,1.11762040829217,3,0,0,3,"q_25"
"fixed.ER.70",6004.97165334442,9396.91337769631,0.692637164307576,0.0952380952380952,0.428571428571428,1.25849893011326,4,0,0,4.5,"median"
"fixed.ER.70",8008.86032748381,12658.7559435099,0.6978372800671,0.0952380952380952,0.738095238095238,1.40559480043835,5.5,1,0,6,"q_75"
"fixed.ER.70",6252.73868881129,10002.3793809283,0.691130636686985,0.0952380952380952,0.495238095238095,1.25703333387854,4,0.5,0.1,4.4,"mean"
"fixed.ER.75",3705.52114134585,5849.76675707971,0.726528319832582,0.0952380952380952,0.202380952380952,1.26223255755919,1.25,0,0,6,"q_25"
"fixed.ER.75",4073.02607575338,6567.21274919446,0.733957987226332,0.0952380952380952,0.285714285714286,1.39156574840124,2.5,0,0,6.5,"median"
"fixed.ER.75",4707.8900153888,9207.56036645151,0.740874998909799,0.0952380952380952,0.285714285714286,1.48162273812765,3,0.75,0,7,"q_75"
"fixed.ER.75",4188.12250939212,7398.37312199308,0.736247050734636,0.0952380952380952,0.266666666666667,1.41826124598515,2.3,0.3,0,6.4,"mean"
"fixed.ER.80",3540.00664740936,7254.18476499031,0.799183805793508,0.0952380952380952,0.285714285714286,1.18587203645392,1,0,0,6.5,"q_25"
"fixed.ER.80",4078.68993133154,8963.89978437919,0.807686468087828,0.0952380952380952,0.333333333333333,1.37964348806527,1,0,0,8,"median"
"fixed.ER.80",4410.01079674179,10204.7727341797,0.819759260648323,0.0952380952380952,0.380952380952381,1.48662197615969,1.75,0,0,8,"q_75"
"fixed.ER.80",3870.77981940558,8346.38850153039,0.803852427931702,0.0952380952380952,0.328571428571429,1.37777097705863,1.3,0.1,0,7.6,"mean"
"fixed.ER.85",2971.68698386847,6000.83103576303,0.82975463482421,0.0952380952380952,0.285714285714286,1.37498850373729,0,0,0,7,"q_25"
"fixed.ER.85",3221.24278611428,6528.40909483182,0.849614272551368,0.0952380952380952,0.285714285714286,1.4871997629832,1,0,0,8,"median"
"fixed.ER.85",4009.49245277951,11049.9146054183,0.854353210387317,0.0952380952380952,0.44047619047619,1.54276134740418,2,0,0,9,"q_75"
"fixed.ER.85",3497.91178563851,9054.05640897338,0.843336330976351,0.0952380952380952,0.376190476190476,1.4530885333299,1.2,0,0,7.8,"mean"
"fixed.ER.90",2411.42916149513,6921.7362003018,0.886398415473501,0.0952380952380952,0.285714285714286,1.50608709271446,0,0,0,9,"q_25"
"fixed.ER.90",2691.69850694836,7887.40971369738,0.900578486506664,0.0952380952380952,0.285714285714286,1.66566098156846,0,0,0,9,"median"
"fixed.ER.90",3039.83305257763,8769.33426993897,0.927227383548285,0.166666666666666,0.321428571428571,1.75819070342792,0,0,0,9,"q_75"
"fixed.ER.90",2719.12639751811,7947.90557115674,0.910229832340344,0.133333333333333,0.285714285714286,1.64852315331277,0.3,0,0,8.7,"mean"
"fixed.ER.95",2112.28597217401,5856.6880833229,0.922140475768033,0.0952380952380952,0.285714285714286,1.69399183419374,0,0,0,9,"q_25"
"fixed.ER.95",2216.30659681376,6336.91015086159,0.938427156631339,0.119047619047619,0.285714285714286,1.81593567197376,0,0,0,9,"median"
"fixed.ER.95",2459.30957921108,8009.72818619976,0.951549534808649,0.309523809523809,0.285714285714286,1.93429056170241,0,0,0,9,"q_75"
"fixed.ER.95",2322.05477100126,6966.96205917903,0.935379831198088,0.19047619047619,0.285714285714286,1.86176749685241,0,0,0,9,"mean"
"no.fishing",21844.1181545889,0,0,1,0,NA,1.25,5,0,0,"q_25"
"no.fishing",26783.2756747349,0,0,1,0,NA,3,5,0.5,0,"median"
"no.fishing",28734.4239596509,0,0,1,0,NA,3,6.75,1,0,"q_75"
"no.fishing",26725.5261234483,0,0,1,0,NA,2.5,5.7,0.7,0.1,"mean"
"rebuilding",18827.5106289425,0,0,0.869047619047619,0,3.62627174732709,3,3.25,0.25,0,"q_25"
"rebuilding",22032.6309871062,819.990124185666,0,0.928571428571428,0,4.19617944816519,3,4.5,1,0,"median"
"rebuilding",24968.2538585587,1300.82392365245,0,1,0.0476190476190476,5.29613452605043,4,5.75,2,0,"q_75"
"rebuilding",22606.9032812705,745.778526808627,0,0.928571428571429,0.0285714285714286,4.41240477089606,3.2,4.6,1.2,0,"mean"
"rebuilding.cap",19278.9054404281,334.183652263436,0,0.857142857142857,0,3.45785406855876,4,3,0,0,"q_25"
"rebuilding.cap",22065.4732928354,682.866917329169,0,0.904761904761905,0,3.9088287824889,4,4,0,0,"median"
"rebuilding.cap",23755.8242589905,848.704663148758,0,0.94047619047619,0.0476190476190476,4.57815550184361,5,5,1,0,"q_75"
"rebuilding.cap",22212.7768794327,581.37096566723,0,0.904761904761905,0.019047619047619,4.20685070371238,4,4.5,0.5,0,"mean"
"status.quo",20225.3596290505,764.29535553549,0,0.761904761904762,0.0119047619047619,2.77963732284181,2.25,4,0.25,0,"q_25"
"status.quo",22509.0035410907,1883.01559807211,0,0.80952380952381,0.0714285714285714,2.94224109053825,4,5,1,0,"median"
"status.quo",23986.0714102166,2761.94473820225,0,0.80952380952381,0.130952380952381,3.2167783000443,4,5,1.75,0,"q_75"
"status.quo",22195.1870989389,1852.52791978825,0,0.814285714285714,0.080952380952381,3.19410593033686,3.4,4.4,1.1,0.1,"mean"
"status.quo.cap",22216.6972755716,1168.02300577964,0,0.714285714285714,0.0476190476190476,2.43569473209486,2.25,3,1,0,"q_25"
"status.quo.cap",25067.7707900805,1685.04742428193,0,0.785714285714286,0.0714285714285714,3.09431181597976,3.5,3,1,0,"median"
"status.quo.cap",25957.7110924907,2908.12647910692,0,0.80952380952381,0.142857142857143,3.39489683394107,4.75,4.75,2.75,0,"q_75"
"status.quo.cap",23793.7529270738,2144.01799610404,0,0.752380952380952,0.0857142857142857,3.09578368702207,3.5,3.6,1.8,0.1,"mean"
