"HCR","escapement","harvest","ER","pr.no.harv","pr.basic.needs","harv.stability","n.below.LSR","n.between.ref","n.above.USR","n.extinct","prob"
"fixed.ER.20",31880.0671748291,7166.02621993813,0.191775395374441,0.0952380952380952,0.25,1.15960064606796,1,2,1,0,"q_25"
"fixed.ER.20",42391.8573515956,9834.01008162844,0.198707492178816,0.0952380952380952,0.380952380952381,1.38667551556957,2,2.5,2,0,"median"
"fixed.ER.20",72425.8331404509,17388.279259694,0.201269002286815,0.0952380952380952,0.559523809523809,1.55318978148296,3.5,4.75,5.5,0,"q_75"
"fixed.ER.20",53022.7401181577,12418.661555724,0.197130909794298,0.0952380952380952,0.376190476190476,1.5297518541102,2.4,3.4,3.1,0.1,"mean"
"fixed.ER.25",27412.1583669115,8576.35092709346,0.244097582486637,0.0952380952380952,0.333333333333333,1.14656500138923,2,2.25,0.25,0,"q_25"
"fixed.ER.25",52266.2904827302,16883.2086400006,0.249282761758801,0.0952380952380952,0.547619047619047,1.43578459970668,3,3.5,1,0,"median"
"fixed.ER.25",94040.0528851265,29775.5286474081,0.25264101962808,0.0952380952380952,0.702380952380952,1.72243768131698,4.75,5,2.75,0,"q_75"
"fixed.ER.25",77291.5651483577,24535.1797713735,0.247928590497261,0.0952380952380952,0.50952380952381,1.46190437920523,3.3,3.4,2.1,0.2,"mean"
"fixed.ER.30",28921.8301916451,11563.0727858822,0.296741160482551,0.0952380952380952,0.55952380952381,1.19547344341675,0,2,1,0,"q_25"
"fixed.ER.30",44247.800853912,17536.9877049142,0.299044992929949,0.0952380952380952,0.69047619047619,1.3025415956702,1,3,3,0,"median"
"fixed.ER.30",49657.2108633982,21687.8957083191,0.305577197193351,0.0952380952380952,0.761904761904762,1.39993941998518,3.5,4.75,5.25,0,"q_75"
"fixed.ER.30",51189.1144994413,21179.7468041854,0.301817286791697,0.0952380952380952,0.642857142857143,1.41776676367476,2,3.6,3.1,0.3,"mean"
"fixed.ER.35",22666.6557990194,10948.6625844381,0.344226600570637,0.0952380952380952,0.547619047619048,1.08677718698668,0.5,2.25,2,0,"q_25"
"fixed.ER.35",36580.1630958911,18792.2250912205,0.352043049943055,0.0952380952380952,0.738095238095238,1.1753380934304,3,3,3,0,"median"
"fixed.ER.35",67074.3411066198,34155.9610538074,0.358187386492467,0.0952380952380952,0.869047619047619,1.40530521975498,3.75,3,5.25,0,"q_75"
"fixed.ER.35",47364.2265411735,23772.2829412777,0.351107440434433,0.0952380952380952,0.695238095238095,1.44402014250636,2.8,3,3.1,0.1,"mean"
"fixed.ER.40",32057.3317954594,19508.656900292,0.389883098235649,0.0952380952380952,0.726190476190476,1.14473335496964,0,3.25,1,0,"q_25"
"fixed.ER.40",40970.8369514248,26059.7555370241,0.39710170395197,0.0952380952380952,0.833333333333333,1.33328929624634,1,4.5,2,0,"median"
"fixed.ER.40",88742.8109457947,58420.9955047391,0.405127409279924,0.0952380952380952,0.904761904761905,1.5613673361516,2.5,5.75,4.5,0,"q_75"
"fixed.ER.40",57507.2302460233,36692.6132291798,0.396928363015594,0.0952380952380952,0.814285714285714,1.59441546644917,1.7,4.8,2.5,0,"mean"
"fixed.ER.45",29248.2986631461,20496.8839070376,0.434862520619674,0.0952380952380952,0.785714285714286,1.10217318847153,1,2.25,1,0,"q_25"
"fixed.ER.45",35594.4947521988,29850.6297674586,0.444792628006252,0.0952380952380952,0.904761904761905,1.31416606522925,1.5,3.5,1.5,0,"median"
"fixed.ER.45",63124.7072874645,45853.5219159794,0.45015662398642,0.0952380952380952,0.904761904761905,1.40459163846807,3.5,5.5,5.5,0,"q_75"
"fixed.ER.45",63938.0979951268,48618.0053940946,0.443158410901154,0.0952380952380952,0.833333333333333,1.43974427798708,2,3.7,3.2,0.1,"mean"
"fixed.ER.5",64954.8221213588,3417.17879208242,0.0496504568067776,0.0952380952380952,0,1.00416282407975,0,1.25,2,0,"q_25"
"fixed.ER.5",79175.9598846301,4114.32640402354,0.0502894114770794,0.0952380952380952,0.0476190476190476,1.11256713956797,1.5,3,5,0,"median"
"fixed.ER.5",110144.357652333,5741.581278633,0.0512612785604716,0.0952380952380952,0.166666666666666,1.56827380769628,2,5,6.75,0,"q_75"
"fixed.ER.5",91659.5299335704,4688.96542085669,0.0502497218372503,0.0952380952380952,0.0952380952380952,1.41784577670231,1.5,3.1,4.4,0,"mean"
"fixed.ER.50",17626.6210641673,16004.8895526262,0.501158863615206,0.0952380952380952,0.714285714285714,1.27073604538585,3,0.25,0,0,"q_25"
"fixed.ER.50",29641.6896712929,27771.0423181868,0.50612919701356,0.0952380952380952,0.738095238095238,1.32360437345881,5,2,0,0,"median"
"fixed.ER.50",36757.7979443687,34656.3105046548,0.515672836022572,0.0952380952380952,0.904761904761905,1.81638401746477,6,3.75,1.5,0,"q_75"
"fixed.ER.50",71097.7421163348,67385.1460278187,0.506048115786386,0.0952380952380952,0.723809523809524,2.35932127579052,4.7,2.3,1.4,0.6,"mean"
"fixed.ER.55",19964.1103664012,21765.0602495643,0.537810004996146,0.0952380952380952,0.690476190476191,1.33115010926677,2.25,1.25,0.25,0,"q_25"
"fixed.ER.55",25232.7076668305,29966.3020530163,0.550357379822229,0.0952380952380952,0.833333333333333,1.93296303852579,4,3,1.5,0,"median"
"fixed.ER.55",55802.2403440665,62058.4766822535,0.564867781059829,0.0952380952380952,0.857142857142857,2.18581002492219,4.75,4,3.75,1,"q_75"
"fixed.ER.55",40104.906175782,45132.7182902431,0.55260346861638,0.0952380952380952,0.757142857142857,1.98827339576474,3.6,2.5,2.4,0.5,"mean"
"fixed.ER.60",14032.5163416771,17881.8579257423,0.592580137810745,0.0952380952380952,0.619047619047619,1.11693701493208,2.25,0,0,0,"q_25"
"fixed.ER.60",31450.4923766717,43955.1652929924,0.597573525436853,0.0952380952380952,0.833333333333333,1.43985160661285,4,2,0,0.5,"median"
"fixed.ER.60",38220.884668047,57004.2125882445,0.610472134957555,0.0952380952380952,0.904761904761905,1.92166108468015,6,4.5,1.75,2.75,"q_75"
