"brood_year","lwr","mid","upr","CU","model"
2022,0.00125405130514443,0.00234688322899331,0.00432959035835755,"Big.Salmon","em"
2023,0.00117986534544242,0.00236456859456504,0.00465978145031399,"Big.Salmon","em"
2024,0.00109992474720381,0.00236940689286587,0.00505416418376514,"Big.Salmon","em"
1985,0.00730280516389898,0.0112046647789231,0.0169934070881307,"MiddleYukonR.andtribs.","em"
1986,0.00790648932954847,0.0117972584718359,0.0174868950683139,"MiddleYukonR.andtribs.","em"
1987,0.00670793139841947,0.0102000089287516,0.0153749851265868,"MiddleYukonR.andtribs.","em"
1988,0.00722689274148732,0.011132139393899,0.0167543918786281,"MiddleYukonR.andtribs.","em"
1989,0.00878303015465792,0.0137578685561158,0.0214537135010131,"MiddleYukonR.andtribs.","em"
1990,0.00737245690689684,0.0114084853267242,0.0179730549220353,"MiddleYukonR.andtribs.","em"
1991,0.00827118491037378,0.0127773157533994,0.0198990551210657,"MiddleYukonR.andtribs.","em"
1992,0.00592043172099133,0.00897189999023566,0.01355309591506,"MiddleYukonR.andtribs.","em"
1993,0.00591984332837163,0.00867716394513075,0.0131339187321625,"MiddleYukonR.andtribs.","em"
1994,0.00486104854329849,0.00751050396471655,0.0118535038318366,"MiddleYukonR.andtribs.","em"
1995,0.00504268015798896,0.00814422935921388,0.0133479265886387,"MiddleYukonR.andtribs.","em"
1996,0.00599092292529904,0.00943852598014328,0.0150714767339715,"MiddleYukonR.andtribs.","em"
1997,0.00702804929189087,0.0112127483463143,0.01803627705643,"MiddleYukonR.andtribs.","em"
1998,0.00780528936984673,0.0118662308989725,0.0174527799134757,"MiddleYukonR.andtribs.","em"
1999,0.00654814168404123,0.00958807437404973,0.013867446108853,"MiddleYukonR.andtribs.","em"
2000,0.00625892298815116,0.00913791387506514,0.0131906821246362,"MiddleYukonR.andtribs.","em"
2001,0.00537433096049211,0.00806950707865263,0.0118295600888365,"MiddleYukonR.andtribs.","em"
2002,0.00364831806274625,0.0058136421143308,0.00924733606553793,"MiddleYukonR.andtribs.","em"
2003,0.00366008238996436,0.00573594835812666,0.0091901923729431,"MiddleYukonR.andtribs.","em"
2004,0.00286364272735851,0.00444587430027761,0.00699890689117393,"MiddleYukonR.andtribs.","em"
2005,0.00294042415155244,0.00444165251650596,0.00674146485010837,"MiddleYukonR.andtribs.","em"
2006,0.00254647691767134,0.00384256655763679,0.0059869277147304,"MiddleYukonR.andtribs.","em"
2007,0.0026748640252883,0.00392427287726268,0.00587488621780789,"MiddleYukonR.andtribs.","em"
2008,0.00319231594033432,0.0046188459527625,0.00672158639283461,"MiddleYukonR.andtribs.","em"
2009,0.00437830793483,0.0062249312101564,0.00888961251411227,"MiddleYukonR.andtribs.","em"
2010,0.00501919606590848,0.00712612211628283,0.0101772159040688,"MiddleYukonR.andtribs.","em"
2011,0.00548250911951636,0.00789939701763871,0.0114205967113676,"MiddleYukonR.andtribs.","em"
2012,0.0059486439036788,0.0088664328870819,0.0128930439076241,"MiddleYukonR.andtribs.","em"
