"BroodYear","S_lwr","S_med","S_upr","R_lwr","R_med","R_upr","CU","CU_f"
2005,9438.77,9763.61,10104.47,11845.58,13230.5,14718.71,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2006,15607.05,16849.84,18172.06,8918.58,10193.71,11597.81,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2007,3413.59,5702.33,9058.26,9945.33,11209.96,12554.28,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2008,12707.02,13168.39,13669.73,12772.56,14520.17,16330.76,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2009,8427.81,9478.43,10664.09,23758.03,25973.9,28283.98,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2010,3067.87,3880.29,4903.64,12662.94,14611.95,16680.14,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2011,9776.77,10512.76,11293.96,25308.58,27905.78,30664.32,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2012,3319.07,4224.23,5395.08,23423.86,26164.09,29009.97,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2013,8887.09,9556.74,10289.42,21746.74,24294.44,26925.01,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2014,20959.63,21804.08,22645.41,19994.1,22303.92,24779.26,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2015,24166.88,24800.41,25449.88,11298.74,12680.08,14199.23,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2016,12317.19,12933.32,13592.53,7459.66,8289.88,9168.22,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2017,20201.85,20984.31,21823.79,3322.48,3789.69,4302.3,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2018,16839.13,17373.35,17930.57,3474.45,4006.53,4757.51,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2019,12829.46,13291.26,13760.23,4022.7,5672.1,8611.63,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2020,7464.3,7807.15,8169.36,3346.67,6259.21,12939.51,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2021,8544.69,8924.37,9336.16,NA,NA,NA,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2022,5378.35,5743.39,6142.18,NA,NA,NA,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2023,1869.38,2040.61,2231.49,NA,NA,NA,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2024,4629.77,4943.22,5295.9,NA,NA,NA,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1985,626.3,950.84,1426.64,2166.63,2720.36,3372.52,"Nordenskiold","Nordenskiold"
1986,667.96,1046.2,1643.12,2851.25,3352.81,3912.61,"Nordenskiold","Nordenskiold"
1987,651.11,900.63,1263.57,2125.98,2600.29,3136.59,"Nordenskiold","Nordenskiold"
1988,7366.59,8232.27,9186.8,4195.21,5149.24,6324.66,"Nordenskiold","Nordenskiold"
1989,2055.4,2612.59,3310.21,15068.31,17215.95,19530.48,"Nordenskiold","Nordenskiold"
1990,1948.12,2460.12,3092.32,4443.8,5707.16,7257.11,"Nordenskiold","Nordenskiold"
1991,580.91,854.69,1251.82,6504.51,7623.99,8867.02,"Nordenskiold","Nordenskiold"
1992,454.57,648.62,925.71,3026.08,3734.14,4526.93,"Nordenskiold","Nordenskiold"
1993,771.05,996.15,1291.06,6304.5,7279.14,8351.76,"Nordenskiold","Nordenskiold"
1994,1903.12,2294.07,2780.84,5392.11,6474.22,7690.62,"Nordenskiold","Nordenskiold"
1995,4946.78,5624.16,6406.86,6881.58,8373.24,10107.84,"Nordenskiold","Nordenskiold"
1996,2940.5,3371.56,3861.15,3211.74,4076.43,5117.56,"Nordenskiold","Nordenskiold"
1997,983.62,1196.73,1460.78,2047.92,2467.42,2983.04,"Nordenskiold","Nordenskiold"
1998,2117.9,2434.81,2802.69,3699.06,4292.2,4915.29,"Nordenskiold","Nordenskiold"
1999,1404.59,1711.91,2082.07,1514.33,1965.77,2527.13,"Nordenskiold","Nordenskiold"
2000,2857.91,3367.82,3938.43,3320.91,3901.43,4539.8,"Nordenskiold","Nordenskiold"
2001,3705.75,5115.37,7029.63,6300.59,7000.98,7757.43,"Nordenskiold","Nordenskiold"
2002,923.13,1124.63,1372.87,2014.42,2388.52,2813.88,"Nordenskiold","Nordenskiold"
2003,896.7,1109.16,1372.58,2626.81,2933.01,3258.24,"Nordenskiold","Nordenskiold"
2004,1908.76,2219.03,2578.86,2373.21,2717.66,3098.76,"Nordenskiold","Nordenskiold"
2005,577.37,942.55,1488.89,3462.14,3972.95,4584.73,"Nordenskiold","Nordenskiold"
2006,3679.16,3879.19,4090.57,1486.13,1824.84,2234.94,"Nordenskiold","Nordenskiold"
2007,1909.9,1978.56,2047.88,364.05,475.11,630.59,"Nordenskiold","Nordenskiold"
2008,526.4,698.74,926.09,360.03,465.08,602.6,"Nordenskiold","Nordenskiold"
2009,1890,1986.59,2088,2489.8,2844.76,3220.72,"Nordenskiold","Nordenskiold"
2010,2128.79,2216.92,2306.05,2807.35,3247.04,3712.9,"Nordenskiold","Nordenskiold"
2011,1312.39,1871.29,2615.52,6098.4,6657.3,7218.54,"Nordenskiold","Nordenskiold"
2012,320.12,514.88,814.53,3901.61,4383.66,4902.16,"Nordenskiold","Nordenskiold"
2013,79.02,101.58,126.05,1933.58,2279.69,2701.29,"Nordenskiold","Nordenskiold"
2014,569.67,748.25,978.87,2416.65,2783.47,3198.58,"Nordenskiold","Nordenskiold"
2015,4152.09,4444.44,4745.2,1924.37,2192.04,2479.59,"Nordenskiold","Nordenskiold"
2016,4698.81,4861.63,5031.6,1126.55,1272.4,1437.06,"Nordenskiold","Nordenskiold"
2017,3160.73,3376.36,3610.34,615.52,754.56,938.31,"Nordenskiold","Nordenskiold"
2018,1831.48,2219.46,2703.38,1298.65,1593.04,2051.63,"Nordenskiold","Nordenskiold"
2019,521.97,855.07,1355.69,1421.5,2070.84,3438.15,"Nordenskiold","Nordenskiold"
2020,1694.49,1924.14,2183.71,1472.71,3326.45,8418.11,"Nordenskiold","Nordenskiold"
2021,1260.07,1323.08,1389.32,NA,NA,NA,"Nordenskiold","Nordenskiold"
2022,630.73,669.27,712.08,NA,NA,NA,"Nordenskiold","Nordenskiold"
2023,601.4,899.46,1317.56,NA,NA,NA,"Nordenskiold","Nordenskiold"
2024,1946.35,2069.94,2206.63,NA,NA,NA,"Nordenskiold","Nordenskiold"
1985,1760.18,2268.75,2950.64,24206.22,29125.74,34967.2,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1986,4424.96,5384.6,6572.72,42640.38,48976.19,55860.44,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1987,3180.89,3761.97,4427.86,23200.71,27519.62,32422.22,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1988,2362.34,3644.21,5587.06,22691.36,26917.47,31623.13,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1989,5539.45,7808.64,10853.27,40370.58,45920.28,52024.83,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1990,4704.81,8117.64,17570.47,12086.26,15278.22,19080.15,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1991,14414.51,15597.47,16908.94,25578.31,29126.95,32930.6,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1992,8420.97,9812.57,11478.19,9769.21,11927.4,14478.54,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1993,8761.6,10300.72,12096.57,13923.2,16029.01,18416.75,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1994,8883.12,10076.73,11379.97,10057.04,11860.48,13858.64,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1995,11994.95,13358.24,14889.16,12183.74,14309.61,16758.91,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1996,5934.35,7197.45,8741.74,10714.61,12583.77,14720.29,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1997,8552.73,9907.36,11420.96,19551.91,22485.04,25560.71,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1998,4216.31,5784.95,7889.5,24014.03,27521.31,31379.31,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1999,3456.07,4084.75,4808.99,19337.78,22665.25,26234.82,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2000,5050.94,6011.41,7194.14,17012.33,19968,23204.09,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
