CU_ID,CU_Name,Species,Year,SpnForAbd_Total,SpnForTrend_Total,SpnForAbd_Wild,SpnForTrend_Wild,new spawn data,difference,Recruits_Wild,Recruits_Total,Abd_StartYr,UseYear,Group
CK-69,UpperYukonR.,Chinook,2020,940,940,940,940,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2021,521,521,521,521,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2022,641,641,641,641,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2023,509,509,509,509,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2024,1528,1528,1528,1528,,,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,1985,4057.361809,4057.361809,4057.361809,4057.361809,4093.442694,1%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,1986,6386.930071,6386.930071,6386.930071,6386.930071,4627.279938,-28%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,1987,3615.916697,3615.916697,3615.916697,3615.916697,4665.538599,29%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,1988,2220.404131,2220.404131,2220.404131,2220.404131,3175.39502,43%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,1989,5174.048001,5174.048001,5174.048001,5174.048001,8619.675958,67%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,1990,2985.36078,2985.36078,2985.36078,2985.36078,5294.488051,77%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,1991,7888.933959,7888.933959,7888.933959,7888.933959,7232.651458,-8%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,1992,4591.216653,4591.216653,4591.216653,4591.216653,4289.075697,-7%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,1993,3649.882803,3649.882803,3649.882803,3649.882803,4170.674269,14%,NA,NA,1985,TRUE,CK_Yukon
