CU_ID,YEAR,TOTAL_SPAWNERS,TOTAL_CATCH,RECRUITS,TOTAL_RUN,TOTAL_OCEAN_RUN,TOTAL_TERMINAL_RUN,MAINSTEM_CATCH,MAINSTEM_AGE_1,MAINSTEM_AGE_2,MAINSTEM_AGE_3,MAINSTEM_AGE_4,MAINSTEM_AGE_5,MAINSTEM_AGE_6,MAINSTEM_AGE_7,MAINSTEM_MORTALITY_RATE,OCEAN_CATCH,OCEAN_AGE_1,OCEAN_AGE_2,OCEAN_AGE_3,OCEAN_AGE_4,OCEAN_AGE_5,OCEAN_AGE_6,OCEAN_AGE_7,OCEAN_MORTALITY_RATE,TERMINAL_CATCH,TERMINAL_AGE_1,TERMINAL_AGE_2,TERMINAL_AGE_3,TERMINAL_AGE_4,TERMINAL_AGE_5,TERMINAL_AGE_6,TERMINAL_AGE_7,TERMINAL_MORTALITY_RATE,SPAWNERS_AGE_1,SPAWNERS_AGE_2,SPAWNERS_AGE_3,SPAWNERS_AGE_4,SPAWNERS_AGE_5,SPAWNERS_AGE_6,SPAWNERS_AGE_7,RUN_AGE_1,RUN_AGE_2,RUN_AGE_3,RUN_AGE_4,RUN_AGE_5,RUN_AGE_6,RUN_AGE_7,CATCH_AGE_1,CATCH_AGE_2,CATCH_AGE_3,CATCH_AGE_4,CATCH_AGE_5,CATCH_AGE_6,CATCH_AGE_7,TOTAL_MORTALITY_RATE,TOTAL_EXPLOITATION_RATE,OCEAN_EXPLOITATION_RATE
CK-70,1996,7546,11801,13053,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428,9569,5995,3361,,,,,,,,,0.61,
CK-70,1997,11531,15890,15881,1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032,3990,21583,824,,,,,,,,,0.58,
CK-70,1998,2065,3569,14226,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,2198,2572,721,,,,,,,,,0.63,
CK-70,1999,4432,7274,9664,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,2163,9064,244,,,,,,,,,0.62,
CK-70,2000,3322,5067,10265,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,2512,4408,1181,,,,,,,,,0.60,
CK-70,2001,6614,3452,14235,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468,2697,5826,1075,,,,,,,,,0.34,
CK-70,2002,8657,8086,5382,1088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1088,4581,8991,2081,,,,,,,,,0.48,
CK-70,2003,10017,8171,9879,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,4993,11481,1428,,,,,,,,,0.45,
CK-70,2004,5112,6612,7335,573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573,2267,8287,597,,,,,,,,,0.56,
CK-70,2005,5618,5017,8929,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,3503,6348,536,,,,,,,,,0.47,
CK-70,2006,7308,6990,5750,592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592,7595,5942,169,,,,,,,,,0.49,
CK-70,2007,4506,6970,4803,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,769,3777,6763,167,,,,,,,,,0.61,
CK-70,2008,1329,1389,4304,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,1626,883,93,,,,,,,,,0.51,
CK-70,2009,9261,3078,9205,1157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1157,3790,7361,31,,,,,,,,,0.25,
CK-70,2010,3817,3578,6452,762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762,3659,2695,279,,,,,,,,,0.48,
CK-70,2011,5156,2565,10299,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,2672,4230,522,,,,,,,,,0.33,
CK-70,2012,2584,1518,7901,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,1534,2130,143,,,,,,,,,0.37,
CK-70,2013,3242,1259,6973,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304,1371,2645,182,,,,,,,,,0.28,
CK-70,2014,6321,174,5875,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475,3260,2592,169,,,,,,,,,0.03,
CK-70,2015,10078,687,2903,1388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1388,3640,5511,226,,,,,,,,,0.06,
CK-70,2016,6761,1427,2288,973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,973,5219,1951,45,,,,,,,,,0.17,
CK-70,2017,5672,2482,1754,476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,3934,3669,74,,,,,,,,,0.30,
CK-70,2018,5159,2072,2114,904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904,3182,3031,115,,,,,,,,,0.29,
CK-70,2019,3874,3913,2383,757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757,3764,3176,91,,,,,,,,,0.50,
CK-70,2020,1635,1136,1887,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,1131,1334,88,,,,,,,,,0.41,
CK-70,2021,1958,107,NA,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,936,1001,83,,,,,,,,,0.05,
CK-70,2022,1978,222,NA,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,916,1037,92,,,,,,,,,0.10,
CK-70,2023,1795,152,NA,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,1041,728,110,,,,,,,,,0.08,
CK-70,2024,1899,95,NA,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,914,793,43,,,,,,,,,0.05,
CK-73,1985,9030,27314,32841,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347,2708,25078,8199,,,,,,,,,0.75,
CK-73,1986,10178,25696,46156,1273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1273,6500,17759,10314,,,,,,,,,0.72,
CK-73,1987,10197,42546,26949,1616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1616,4042,37428,9644,,,,,,,,,0.81,
CK-73,1988,6829,15297,30344,1620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1620,4733,5006,10761,,,,,,,,,0.69,
CK-73,1989,18718,32760,67911,3802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3802,11751,27020,8898,,,,,,,,,0.64,
CK-73,1990,11553,12411,30067,2637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2637,5675,13416,2228,,,,,,,,,0.52,
CK-73,1991,15839,27502,69236,725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725,14554,20932,7122,,,,,,,,,0.63,
CK-73,1992,9462,27441,18438,1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725,6311,27662,1209,,,,,,,,,0.74,
CK-73,1993,9182,17266,29252,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1905,7074,14167,3296,,,,,,,,,0.65,
CK-73,1994,11941,23939,18174,1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055,14081,17431,3344,,,,,,,,,0.67,
CK-73,1995,21121,43865,24105,2948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2948,8606,48390,4997,,,,,,,,,0.67,
CK-73,1996,17020,26615,30227,965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965,21582,13521,7579,,,,,,,,,0.61,
CK-73,1997,25906,35700,39054,2319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2319,8964,48490,1851,,,,,,,,,0.58,
CK-73,1998,4617,7980,32331,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,4915,5751,1612,,,,,,,,,0.63,
CK-73,1999,9998,16408,24507,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527,4880,20447,551,,,,,,,,,0.62,
CK-73,2000,7480,11409,24681,645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645,5656,9926,2661,,,,,,,,,0.60,
CK-73,2001,14925,7790,29544,1056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1056,6086,13148,2425,,,,,,,,,0.34,
CK-73,2002,19464,18180,14621,2446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2446,10300,20216,4680,,,,,,,,,0.48,
CK-73,2003,22572,18412,23209,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643,11252,25871,3218,,,,,,,,,0.45,
CK-73,2004,11525,14907,11239,1293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1293,5110,18683,1345,,,,,,,,,0.56,
CK-73,2005,14880,13289,15495,656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656,9277,16812,1419,,,,,,,,,0.47,
CK-73,2006,17898,17120,10550,1451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1451,18600,14552,414,,,,,,,,,0.49,
CK-73,2007,7064,10926,7744,1205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1205,5922,10603,261,,,,,,,,,0.61,
CK-73,2008,9885,10334,10407,866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866,12091,6568,693,,,,,,,,,0.51,
CK-73,2009,12416,4126,22619,1552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1552,5081,9868,41,,,,,,,,,0.25,
CK-73,2010,5380,5043,14362,1075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075,5156,3799,394,,,,,,,,,0.48,
CK-73,2011,11057,5500,26611,635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635,5731,9071,1120,,,,,,,,,0.33,
CK-73,2012,4087,2401,23726,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466,2426,3369,227,,,,,,,,,0.37,
CK-73,2013,4649,1806,21208,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,1966,3793,261,,,,,,,,,0.28,
CK-73,2014,19104,524,20024,1435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1435,9851,7833,510,,,,,,,,,0.03,
CK-73,2015,26108,1781,11047,3596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3596,9430,14277,586,,,,,,,,,0.06,
CK-73,2016,13637,2877,6900,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962,10526,3936,90,,,,,,,,,0.17,
CK-73,2017,18527,8106,3542,1555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1555,12849,11985,242,,,,,,,,,0.30,
CK-73,2018,16179,6498,4260,2836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2836,9978,9504,360,,,,,,,,,0.29,
CK-73,2019,11924,12043,5550,2329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2329,11584,9774,281,,,,,,,,,0.50,
CK-73,2020,6882,4781,5849,914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,914,4760,5616,372,,,,,,,,,0.41,
CK-73,2021,7591,416,NA,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,3629,3882,320,,,,,,,,,0.05,
CK-73,2022,4460,501,NA,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,2064,2338,208,,,,,,,,,0.10,
CK-73,2023,2613,222,NA,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,1515,1059,160,,,,,,,,,0.08,
CK-73,2024,4790,238,NA,615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615,2306,2001,108,,,,,,,,,0.05,
CK-71,1985,3112,9415,1223,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,933,8644,2826,,,,,,,,,0.75,
CK-71,1986,1138,2873,2489,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,727,1986,1153,,,,,,,,,0.72,
CK-71,1987,572,2385,2749,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,227,2098,541,,,,,,,,,0.81,
CK-71,1988,1061,2377,5776,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,736,778,1672,,,,,,,,,0.69,
CK-71,1989,608,1064,14888,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,382,878,289,,,,,,,,,0.64,
CK-71,1990,540,580,5150,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,265,627,104,,,,,,,,,0.52,
CK-71,1991,539,935,8026,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,495,712,242,,,,,,,,,0.63,
CK-71,1992,500,1450,3663,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,333,1462,64,,,,,,,,,0.74,
CK-71,1993,1058,1990,7182,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,815,1633,380,,,,,,,,,0.65,
CK-71,1994,2747,5508,3296,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,3240,4011,769,,,,,,,,,0.67,
CK-71,1995,4344,9021,2215,606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606,1770,9951,1028,,,,,,,,,0.67,
CK-71,1996,3761,5881,1973,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,4769,2988,1675,,,,,,,,,0.61,
CK-71,1997,1131,1559,2735,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,391,2117,81,,,,,,,,,0.58,
CK-71,1998,2399,4147,4765,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,2554,2988,837,,,,,,,,,0.63,
CK-71,1999,1903,3123,2772,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,929,3892,105,,,,,,,,,0.62,
CK-71,2000,1571,2396,4290,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,1188,2085,559,,,,,,,,,0.60,
CK-71,2001,718,375,7008,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,293,633,117,,,,,,,,,0.34,
CK-71,2002,1254,1171,2397,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,663,1302,301,,,,,,,,,0.48,
CK-71,2003,1459,1191,2842,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,728,1673,208,,,,,,,,,0.45,
CK-71,2004,2366,3060,2520,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,1049,3835,276,,,,,,,,,0.56,
CK-71,2005,1167,1043,2962,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,728,1319,111,,,,,,,,,0.47,
CK-71,2006,3848,3681,1073,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,3999,3129,89,,,,,,,,,0.49,
CK-71,2007,1978,3060,516,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,1659,2970,73,,,,,,,,,0.61,
CK-71,2008,672,702,3146,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,822,446,47,,,,,,,,,0.51,
CK-71,2009,1799,598,4464,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,736,1430,6,,,,,,,,,0.25,
CK-71,2010,2302,2158,2606,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,2206,1625,168,,,,,,,,,0.48,
CK-71,2011,623,310,6187,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,323,511,63,,,,,,,,,0.33,
CK-71,2012,417,245,3538,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,247,343,23,,,,,,,,,0.37,
CK-71,2013,1,0,3110,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,0.28,
CK-71,2014,7481,205,3320,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562,3858,3067,200,,,,,,,,,0.03,
CK-71,2015,1354,92,1596,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,489,740,30,,,,,,,,,0.06,
CK-71,2016,4867,1027,1111,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,3757,1405,32,,,,,,,,,0.17,
CK-71,2017,3443,1506,1002,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,2387,2227,45,,,,,,,,,0.30,
CK-71,2018,585,235,1975,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,361,343,13,,,,,,,,,0.29,
CK-71,2019,3138,3169,2547,613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613,3048,2572,74,,,,,,,,,0.50,
CK-71,2020,303,210,2442,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,209,247,16,,,,,,,,,0.41,
CK-71,2021,1330,73,NA,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,636,680,56,,,,,,,,,0.05,
CK-71,2022,660,74,NA,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,305,346,31,,,,,,,,,0.10,
CK-71,2023,1524,129,NA,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,884,618,93,,,,,,,,,0.08,
CK-71,2024,2085,104,NA,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,1004,871,47,,,,,,,,,0.05,
CK-76,1985,1676,5071,25108,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,503,4656,1522,,,,,,,,,0.75,
CK-76,1986,3260,8230,36379,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408,2082,5688,3303,,,,,,,,,0.72,
CK-76,1987,3165,13206,30686,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502,1254,11617,2993,,,,,,,,,0.81,
CK-76,1988,13420,30061,37854,3184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3184,9301,9837,21147,,,,,,,,,0.69,
CK-76,1989,5010,8768,44825,1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017,3145,7232,2381,,,,,,,,,0.64,
CK-76,1990,19833,21305,11897,4526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4526,9742,23031,3825,,,,,,,,,0.52,
CK-76,1991,9260,16078,25486,424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,8509,12237,4164,,,,,,,,,0.63,
CK-76,1992,6526,18926,12095,1189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1189,4352,19078,834,,,,,,,,,0.74,
CK-76,1993,13629,25628,15541,2828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2828,10501,21029,4893,,,,,,,,,0.65,
CK-76,1994,16192,32462,7030,1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1430,19095,23637,4534,,,,,,,,,0.67,
CK-76,1995,9305,19325,9986,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1299,3791,21318,2202,,,,,,,,,0.67,
CK-76,1996,6123,9576,13010,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347,7765,4865,2727,,,,,,,,,0.61,
CK-76,1997,8593,11842,25027,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,769,2973,16085,614,,,,,,,,,0.58,
CK-76,1998,5615,9706,28634,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392,5977,6994,1960,,,,,,,,,0.63,
CK-76,1999,4161,6829,18156,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,2031,8510,229,,,,,,,,,0.62,
CK-76,2000,2475,3775,15100,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,1871,3284,880,,,,,,,,,0.60,
CK-76,2001,6908,3606,18634,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489,2817,6085,1122,,,,,,,,,0.34,
CK-76,2002,7248,6770,9217,911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,911,3835,7528,1743,,,,,,,,,0.48,
CK-76,2003,18310,14936,12400,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522,9128,20987,2611,,,,,,,,,0.45,
CK-76,2004,11265,14571,6641,1264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1264,4995,18262,1315,,,,,,,,,0.56,
CK-76,2005,9853,8800,7827,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434,6143,11133,940,,,,,,,,,0.47,
CK-76,2006,10127,9687,6368,821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821,10525,8234,234,,,,,,,,,0.49,
CK-76,2007,5194,8034,4295,886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886,4355,7797,192,,,,,,,,,0.61,
CK-76,2008,5197,5433,3394,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,6357,3453,364,,,,,,,,,0.51,
CK-76,2009,6676,2219,5525,834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834,2732,5306,22,,,,,,,,,0.25,
CK-76,2010,3913,3668,4514,782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782,3751,2763,286,,,,,,,,,0.48,
CK-76,2011,3972,1976,9517,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,2059,3258,402,,,,,,,,,0.33,
CK-76,2012,4214,2476,7754,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481,2501,3474,234,,,,,,,,,0.37,
CK-76,2013,429,167,5208,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,181,350,24,,,,,,,,,0.28,
CK-76,2014,4919,135,4535,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,2536,2017,131,,,,,,,,,0.03,
CK-76,2015,5303,362,3087,730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730,1915,2900,119,,,,,,,,,0.06,
CK-76,2016,6792,1433,2090,977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977,5243,1960,45,,,,,,,,,0.17,
CK-76,2017,5860,2564,1372,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492,4064,3791,77,,,,,,,,,0.30,
